epoch,train_loss,val_loss,test_loss,train_auc,val_auc,test_auc,train_acc,val_acc,test_acc,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_f1,val_f1,test_f1
1,0.6932440996170044,0.688411295413971,0.6883435249328613,0.47032484315459056,0.7345522546247396,0.7382011853330195,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.687925398349762,0.6712952852249146,0.670859694480896,0.7371983618489039,0.7462760466140644,0.7502535709878164,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.6710739135742188,0.6428698897361755,0.6416052579879761,0.7414681584316292,0.7293026185911172,0.7339288276608396,0.49983438224577675,0.5908530915853092,0.5944793119479312,0.3771551724137931,0.925716152924518,0.9303335097935416,0.0005084755612117408,0.19755927475592747,0.20425383542538356,0.001015581928444999,0.32562594586310606,0.33496616792147144
4,0.6424615979194641,0.625897228717804,0.6239004731178284,0.7257389904502015,0.7752490211379309,0.7792894456126381,0.5958069652435162,0.7082635983263599,0.7106927010692701,0.9021207575702143,0.6881892079228717,0.6898856161226798,0.2149340725115206,0.7615992561599256,0.7654811715481171,0.3471566177419544,0.7230356729082302,0.7257200784538422
5,0.6336559057235718,0.9150530695915222,0.9110458493232727,0.7660332732652282,0.6230488524900899,0.6275287601519927,0.6953301604458314,0.5,0.5,0.6711743826610378,0.0,0.0,0.7658891348942081,0.0,0.0,0.7154105034604424,0.0,0.0
6,1.1248695850372314,0.6691139936447144,0.6659757494926453,0.5393960404392258,0.7121566147971351,0.7174518149797235,0.49998256655218704,0.5449790794979079,0.5456996745699675,0.0,0.9613733905579399,0.9647754137115839,0.0,0.09372384937238494,0.09486285448628545,0.0,0.17079679756004576,0.17274074074074075
7,0.6723483204841614,0.6066882014274597,0.6040158271789551,0.7051249420395876,0.7388512538144605,0.7436870091235823,0.5405371245271178,0.6693863319386332,0.6722687122268712,0.9536335555194277,0.8123178467340991,0.8138126693766937,0.08521759848445228,0.4405625290562529,0.44674569967456995,0.15645429303773328,0.5712864721485411,0.5768353442583588
8,0.6083489656448364,0.6339488625526428,0.6317235827445984,0.7362295680473439,0.7542939195461399,0.7588809198299212,0.6658284083843262,0.6949674569967457,0.6988261273826127,0.8066089684701382,0.6818585893627631,0.6851607316809178,0.4362516924972252,0.7310088331008833,0.7357275685727569,0.5662493612190674,0.7055788021224801,0.7095443591324329
9,0.633061408996582,0.6496142745018005,0.6474789977073669,0.7532245936549398,0.7606776823230564,0.7652722204823592,0.6967466280806355,0.6803463505346351,0.6850767085076709,0.6858254686560938,0.6518327168829136,0.6557146209809904,0.7261321571567209,0.7742445374244538,0.7793584379358438,0.7054035020372333,0.707784825593132,0.712210043334183
10,0.648556649684906,0.6246738433837891,0.6223512291908264,0.7609115814369906,0.7647654621411208,0.7696305668322454,0.6832168197904499,0.7088447233844724,0.7118898186889818,0.6548459815727953,0.7080275070040982,0.7102719660446126,0.7748266824729927,0.7108089260808926,0.7157368665736866,0.7098018339344415,0.7094154902620377,0.712993944726818
11,0.625015914440155,0.6041733622550964,0.6016204953193665,0.7645017767414055,0.7683172290638824,0.7738387521961718,0.7080260688156297,0.6953277545327754,0.6986750348675035,0.7080714113417671,0.8159735278634278,0.8183240223463687,0.7079171097667986,0.504416550441655,0.5107391910739191,0.7079942521470904,0.6234378142327692,0.6289394589952769
12,0.6056543588638306,0.6120201349258423,0.6092880964279175,0.7662736961640627,0.766612385371664,0.7733375235935153,0.6917795482412556,0.5994653649465365,0.6023942352394235,0.8063911170528818,0.9096304805667241,0.9122215983529852,0.5047448033797645,0.2208740120874012,0.22659228265922826,0.6208688504083347,0.35544084090824074,0.36301344356310283
13,0.6144987940788269,0.6153679490089417,0.6123750805854797,0.7624098070012284,0.7680290337211391,0.775174334545618,0.5949658013865402,0.5754416550441656,0.5777196652719665,0.9018590468696208,0.9322146757224664,0.9329276188009841,0.2131238995136068,0.16271501627150162,0.16748024174802417,0.3447724783665258,0.2770686140632112,0.28398005636245394
14,0.6163058280944824,0.5955297946929932,0.5921661853790283,0.7652534157785259,0.7787315923031918,0.7854807206426212,0.5741313784627186,0.6253370525337053,0.6282659228265923,0.9285606302386912,0.9034116414783779,0.9055563721887403,0.1606201658502002,0.28068340306834033,0.2864016736401674,0.2738674111157075,0.42829780441953674,0.43517112280577824
15,0.597491443157196,0.5711830258369446,0.5675103664398193,0.7757884797034097,0.7879435235057657,0.7939642843943364,0.6237062928935455,0.6953161320316132,0.6990353324035332,0.8974524136257129,0.8449160543491646,0.8474053637359517,0.279330323158011,0.4784518828451883,0.48549511854951183,0.4260526006731858,0.6109437378489485,0.6173171560731228
16,0.5753337144851685,0.562240481376648,0.558381199836731,0.7854638040758817,0.7925334358987992,0.7980012810146795,0.6896889872910166,0.7250116225011622,0.7277312877731288,0.8437491772808408,0.785646836638338,0.7866967107573452,0.46560090189036685,0.6188749418874941,0.6248953974895397,0.6000692773622176,0.6923597025016903,0.6965229557467095
17,0.5675915479660034,0.5613653659820557,0.5572795271873474,0.7897037195740872,0.7961702769905168,0.8014338656990002,0.7226091479111824,0.7335657833565783,0.7362273361227336,0.7816864900637903,0.761353586849087,0.7623867186491441,0.6177455065288262,0.6804044630404463,0.6863784286378428,0.6901133001488271,0.7186065352416959,0.7223887169575908
18,0.5658416152000427,0.5503619313240051,0.5458701848983765,0.793372160071148,0.8009168724243814,0.8062555975500136,0.730775265424243,0.7334611808461181,0.7370176662017667,0.75904412148411,0.7705611379003798,0.7724661304545333,0.67621147934427,0.6649000464900047,0.6719665271966527,0.7152375479044952,0.713841853732796,0.7187200875153835
19,0.5556612610816956,0.534827709197998,0.5298219919204712,0.7979486297713175,0.8066028018062588,0.8120340879151708,0.7306372506290569,0.7229311947931195,0.7261041376104138,0.7642472643987337,0.804469983174069,0.8060922650890553,0.6670414857946456,0.5890283589028359,0.595443979544398,0.712343516554781,0.6800950093264805,0.6849380999491965
20,0.5409979224205017,0.533168613910675,0.5279327034950256,0.8025410210607619,0.811026836900917,0.8163012851644149,0.7215573298931329,0.7076127382612738,0.7119014411901441,0.7992700013736533,0.8442739852754115,0.847726579188282,0.5917202745186916,0.5091352859135286,0.5165969316596931,0.6800108855167531,0.6352101851717588,0.6419781616500086
21,0.536486804485321,0.5266941785812378,0.5214850902557373,0.8074132127182208,0.8166983086694241,0.8216705681203924,0.7067897468082263,0.7164225941422594,0.7203161320316132,0.8353911404335532,0.8556204881402544,0.8582010582010582,0.515071215634316,0.5207112970711297,0.5278475127847513,0.6372423908003005,0.6474183899076603,0.6536557282671273
