epoch,train_loss,val_loss,test_loss,train_auc,val_auc,test_auc,train_acc,val_acc,test_acc,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_f1,val_f1,test_f1
1,0.6932345032691956,0.6869155764579773,0.6868487000465393,0.468729428260623,0.6940148055319432,0.6956453219513871,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6864897608757019,0.6876053214073181,0.6864221096038818,0.6902948335534841,0.7585042656902685,0.7631608432046245,0.5,0.6407949790794979,0.6452696420269642,0.0,0.6023245599216137,0.6055035029965392,0.0,0.8287773128777313,0.8337284983728498,0.0,0.6976343749388538,0.7015207080338369
3,0.6919743418693542,0.8827375769615173,0.8818554878234863,0.7565052459531472,0.46220819984477396,0.4670268310113186,0.6360477211578134,0.5,0.5,0.5961422370425734,0.0,0.0,0.8435812950727265,0.0,0.0,0.6985986255750832,0.0,0.0
4,0.8987295627593994,0.687558114528656,0.6871153712272644,0.46053365815562364,0.6821801569810328,0.6887986875273002,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6870402097702026,0.6748135685920715,0.6744731068611145,0.6803744682373302,0.7703844465106668,0.7742314822379437,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6745314598083496,0.6701109409332275,0.6696297526359558,0.771679634231592,0.759832305031057,0.7632885567155363,0.5,0.5797768479776848,0.5823105532310553,0.0,0.9498034076015728,0.9502797558494405,0.0,0.16845653184565318,0.17370990237099024,0.0,0.2861599210266535,0.2937269082619291
7,0.6699437499046326,0.6554883718490601,0.6547122597694397,0.7598177893276558,0.7475088697892993,0.7511135285481265,0.5707551007362726,0.6064388656438866,0.6106113435611343,0.9419108973777334,0.9155172413793103,0.9183296703296703,0.15081094588076685,0.23451882845188285,0.24281729428172943,0.25999383877116045,0.37339008142116953,0.38407941906425225
8,0.6556833982467651,0.637993335723877,0.6365921497344971,0.7465999661114258,0.7437438286193851,0.7479216849827774,0.5996786434453142,0.5725708972570898,0.5754300325430033,0.9193477410522198,0.9437180216031836,0.9442771084337349,0.21852826833562874,0.15434681543468154,0.1603207810320781,0.3531201434829356,0.2653028607959086,0.27410380732851125
9,0.6389100551605225,0.6154680252075195,0.6130735874176025,0.7421706231342903,0.7429706124166567,0.7473008405267484,0.5660727672111714,0.6393189214318922,0.6436424918642492,0.9498516320474777,0.8754620058886174,0.8789476911755688,0.1395111661233242,0.32484890748489076,0.33317061831706185,0.24328884565105038,0.4738653510333486,0.4831864075378833
10,0.6169099807739258,0.598865270614624,0.5953947305679321,0.7432722089681008,0.7436973202435117,0.7478769937371414,0.6312331839867971,0.6951999070199907,0.699349139934914,0.8842802933619208,0.7707037168369814,0.774907039364021,0.3019850885909706,0.5557415155741515,0.5619246861924686,0.45021875676846435,0.6458043516430086,0.6514498221407783
11,0.5978907346725464,0.598141074180603,0.5934276580810547,0.7456574396615968,0.7451410612861888,0.7491493747515832,0.6958299192831366,0.6918293816829382,0.6950836820083682,0.7802271820117084,0.7653451657502974,0.7681909692263446,0.545242702649303,0.5533007903300791,0.5587866108786611,0.6419054590731993,0.6422741193453947,0.6469662104880707
