module_id,representative_go,representative_go_p_value,deg_distribution,target_group_distribution,num_proteins,proteins
10,GO:0000132 (Establishment Of Mitotic Spindle Orientation),0.15341837996157429,{'none': '100.00%'},"{'T4': '79.49%', 'T2': '20.51%'}",39,"CPX-2358, OTUD6B, KIF14, PLK4, AURKC, NDE1, CPX-85, ALG2, CPX-6201, CPX-5881, AHDC1, AFF4, CDK15, CPX-5001, FAM83H, NSRP1, CPX-364, CPX-379, WEE2, MAP4K5, SPDYE1, RNF113A, ARFGEF1, LZTS1, ZNF335, MEOX1, HOXD13, LBX1, TOE1, PRDM13, ANKRD17, ZBTB24, MLLT11, USP6, SHROOM4, OARD1, TERB1, NEK3, SLC25A15"
11,GO:0004896 (Cytokine Receptor Activity),9.78003406872095e-08,{'none': '100.00%'},"{'T4': '96.30%', 'T2': '3.70%'}",27,"TNFRSF4, CD207, CPX-6011, CPX-6012, CPX-6013, CPX-6014, CPX-3290, CPX-381, EPX, OSMR, SASH3, MPL, IL17RC, FCRL3, IRGM, SPPL2A, TNFSF4, CD70, IL11RA, UNC93B1, MYORG, ZNF341, LRRC32, IL18BP, CPX-2127, ROR1, SHQ1"
12,GO:0005104 (Fibroblast Growth Factor Receptor Binding),3.910756116039263e-09,{'none': '100.00%'},"{'T4': '47.54%', 'T2': '52.46%', 'T3': '3.28%'}",61,"CPX-2396, CPX-7978, FGFR1, MAPK13, XIAP, IGF2, ABL1, BRAF, FLT1, MAPK8IP1, ANXA5, CPX-1907, CPX-975, CPX-2862, PRKAA2, CNP, PIK3R1, CPX-8834, CPX-6134, CDH1, PIK3CA, CPX-5836, MAP2K1, MAPK7, STK11, CPX-1147, MEF2C, NOX1, CPX-1983, CPX-1985, CPX-1987, CPX-1991, CPX-298, CPX-860, IKBKB, HDAC4, KDR, CPX-1650, PDPK1, MAP3K1, FGF20, FGF10, FGF5, FGF8, FGF3, CHUK, FOXO4, FGF9, FGF16, CSF1R, TLR5, RPS6KA3, TCF7L2, RIPK3, SYK, IKBKG, FAS, RPS6KA1, EPHA2, WAS, MYO1F"
13,GO:1990837 (Sequence-Specific Double-Stranded DNA Binding),2.4764340761629837e-12,"{'none': '98.25%', 'Up': '1.75%'}","{'T4': '84.21%', 'T2': '15.79%'}",57,"CPX-7764, CPX-7765, SOX4, CPX-688, TET2, CPX-6047, CPX-481, FOXD3, CHD6, ESRRB, CPX-6543, CPX-69, CPX-70, CPX-718, CPX-719, CPX-720, CPX-721, CPX-722, CPX-723, PRDM1, GATA3, ZEB2, ZEB1, FOXP3, CD274, LMO2, BRDT, TBX21, TWIST1, SOX17, ZMIZ1, CPX-509, CPX-6525, CPX-7065, CPX-71, CPX-256, CTLA4, FLT3, IL7, CSF3R, JAK3, BCL6, CPX-5635, IFIH1, TNFAIP3, JAK1, RPS6KA5, MAP3K4, CARD11, PAX5, CDKN3, ZMYND11, RNF43, CPX-7861, HOXB13, TMC6, KRT9"
14,GO:0015108 (Chloride Transmembrane Transporter Activity),0.0006602063829709211,{'none': '100.00%'},"{'T4': '76.19%', 'T2': '23.81%', 'T3': '2.38%'}",42,"GNAL, HTR4, HTR1D, CPX-213, TSPEAR, EPB41L1, CPX-6244, ADCY5, CASK, SLC1A1, SLC17A8, KCNJ1, ABCA2, GRK3, SLC26A3, PRKAR1A, MYO9A, PDE4D, PRKG2, GRM6, CPX-125, CPX-2659, ANO5, DYSF, SIX5, SLC12A2, TRPM2, TRPM7, BVES, MYH8, TNNI2, MRGPRX4, PCLO, OR51E2, CPLX1, SYT2, NTNG2, CLCNKB, ALPK3, TNNT1, CLIC2, ZFHX4"
15,GO:0120031 (Plasma Membrane Bounded Cell Projection Assembly),0.021606991736316673,"{'none': '98.44%', 'Down': '1.56%'}","{'T4': '93.75%', 'T2': '6.25%'}",64,"CHM, ASTL, EXTL3, CPX-2679, ALG12, TMEM79, HS6ST2, HEPHL1, SPATA16, DPY19L2, TDRD7, MIPOL1, CEP85L, HECW2, CRYBB3, GJA3, BFSP1, CRYGS, KIAA0586, DNHD1, DNAH9, ADCK1, ADCK5, UPK3A, ALG1, EMP2, FRMD4A, CPX-7849, UQCC3, THUMPD1, TEX14, TBC1D23, TBCK, RP2, CHST8, COX20, TGM3, SPINK5, KRT6B, PRSS37, CEP89, C2CD3, COA5, LHX4, DNAH1, APPL2, TTC7A, THSD4, TMEM218, CCDC88C, REEP1, VWA3B, FLG2, ATL1, SBK3, CPX-6310, ALX4, ZC3H12D, DCDC2, ENGASE, HYLS1, LIPN, DNASE1, CEP19"
16,GO:0051660 (Establishment Of Centrosome Localization),1.3543037187796867e-09,{'none': '100.00%'},"{'T4': '87.72%', 'T2': '12.28%'}",57,"TAP2, NODAL, SMAD9, GDF2, CPX-6168, PITX1, PRTN3, NEK7, VCAN, CILP, CTHRC1, EPHB4, SPRY4, DCC, PAK3, CPX-984, CDON, MST1R, SH3KBP1, EPHB3, SH3BP2, TACSTD2, ROR2, ROBO4, MADD, ZDHHC9, CARD14, CPX-6183, CPX-6193, CPX-6194, CPX-6195, CPX-6196, CPX-6197, MFF, ARHGAP26, A2ML1, SHOC2, HIP1, TNFRSF11A, PRRX1, GRAP, SOX18, CDC42BPA, NHS, FSTL3, PLCH1, KDF1, TSPAN12, LTBP4, FUT8, EML1, CD164, RAP1GDS1, CDHR3, SEMA4D, FOXC2, DSPP"
17,GO:0004930 (G Protein-Coupled Receptor Activity),1.4168142910008596e-05,"{'none': '91.43%', 'Up': '8.57%'}","{'T2': '28.57%', 'T3': '12.86%', 'T4': '68.57%', 'T1': '2.86%'}",70,"AVPR1A, MC4R, MPDZ, NPY2R, HCRT, SSTR5, OCA2, BCHE, GAL, P2RY12, PLCB3, AGRP, PLCD1, PRKCE, PICALM, SYNJ1, SSTR4, WLS, CPX-7725, VIPR1, CXCR2, CXCR1, PRKCH, GLIS3, MTNR1A, LDLRAP1, SLC9A3R1, CPX-1772, PTH1R, CASR, PLA2G7, FAM20C, EPHB2, CAST, PHOX2B, SLC2A10, CPX-6185, PDE4A, CA2, VIL1, GNRHR, POU4F1, PI4KB, CPX-1770, PLD1, PLCB4, SIK3, MESP2, ATXN10, CPX-4001, PPM1F, HTRA1, SLC6A8, FAM20A, CPX-2189, CPX-2191, CPX-3148, CFAP45, NBEA, INVS, CPX-5047, HMCN1, OPHN1, PDE4DIP, PKD1L1, SERPINB8, LYST, DSG3, STX3, TSPAN7"
18,GO:0003341 (Cilium Movement),2.645507815057724e-10,"{'none': '97.67%', 'Down': '2.33%'}","{'T2': '4.65%', 'T3': '4.65%', 'T4': '95.35%'}",43,"SLC36A1, CPX-6212, RAB9A, FAT2, CERT1, NPHP3, SLC36A2, CPX-8086, DNAAF1, ELOVL4, CEP104, DNAAF5, CCDC40, CCDC103, NDST1, RILPL1, OPA3, SLC25A46, SLC39A13, RAB33B, ATL3, DENND5A, TBC1D20, GALNT2, RAB3GAP1, CLN8, KCTD7, MFSD8, B4GAT1, DLX4, CPX-1172, CPX-8407, CPX-8442, CFAP53, PGBD5, SPAG17, CPX-6141, DNAH11, CPX-6441, CPX-8307, VPS13B, KRT6A, PIGN"
19,GO:1905369 (Endopeptidase Complex),9.984519608536616e-16,"{'none': '98.81%', 'Up': '1.19%'}","{'T2': '29.76%', 'T4': '72.62%', 'T3': '2.38%'}",84,"FAAH, PKLR, EARS2, GNE, ATIC, GLS, CPX-6159, CPX-677, CPX-6175, CPX-6176, CYP27A1, CPX-6211, HRG, DHCR24, TAT, PLA2G4C, ENTPD3, ENTPD8, CPX-6209, CPX-6234, CPX-1920, ALOX12, CPX-6223, CPX-4945, GPI, PAH, GCH1, AKR1A1, PDE11A, APRT, GMPS, SERPIND1, CPX-6170, CPX-6172, CPX-6178, CPX-6179, CPX-6181, AK1, DCK, ATOH7, AMELX, SLC25A1, IREB2, PGAM2, FH, OAT, PGM1, ASS1, FBP2, BPGM, HADH, CPX-6239, CPX-6163, KLHDC8B, AIFM1, CPX-3168, CPX-3169, AMPD1, CPX-6240, CPX-6235, CPX-6165, CPX-6203, CPX-6237, CPX-6238, CPX-6502, PDE3B, MOCS1, ENPP1, GDA, ALAS2, SRR, SLC25A12, AASS, SRPX2, ALPI, CA5A, ALPG, CFHR5, CPX-6156, CFHR1, CFHR3, CPX-6154, CPX-8062, AK2"
20,GO:0050684 (Regulation Of mRNA Processing),0.03791589972152381,{'none': '100.00%'},"{'T2': '25.00%', 'T4': '75.00%'}",28,"CPX-871, CC2D1A, MAPRE2, NR5A1, ZNF644, CPX-6148, STAMBP, ANLN, CDK11A, CPX-2461, MACROD1, CPX-82, CDK11B, MED12L, DMRT1, FRG1, ANKLE2, TLK1, USP9Y, GAS7, CIT, TAOK2, EYA2, SH3BGRL, TOM1, UFM1, SACS, AFF2"
21,GO:1990756 (Ubiquitin Ligase-Substrate Adaptor Activity),4.33069977029397e-106,{'none': '100.00%'},"{'T2': '91.57%', 'T4': '19.28%', 'T3': '2.41%'}",83,"ERG, UNG, OGG1, DCLRE1C, CPX-7906, CPX-997, CPX-2214, CPX-2217, CPX-2218, CPX-2220, CPX-2221, CPX-2222, CPX-2223, CPX-2226, CPX-2228, CPX-2229, CPX-2239, CPX-2241, CPX-2319, CPX-2343, CPX-2365, CPX-2438, CPX-2489, CPX-2492, CPX-2516, CPX-2538, CPX-2553, CPX-2554, CPX-2658, CPX-2683, CPX-2748, CPX-2757, CPX-2766, CPX-2773, CPX-2818, CPX-2832, CPX-2873, CPX-3292, CPX-3295, CPX-7747, CPX-7762, CPX-7763, CPX-7785, CPX-7786, CPX-7822, CPX-7847, CPX-7881, CPX-7882, CPX-7904, CPX-7905, CPX-7921, CPX-7922, CPX-7925, CPX-7926, CPX-7927, CPX-7928, CPX-7929, CPX-7930, CPX-7962, CPX-7963, CPX-7965, CPX-7966, CPX-7967, CPX-7968, CPX-7972, CPX-7973, CPX-7975, CPX-7976, CPX-7979, CPX-7981, CPX-7982, CPX-7983, CPX-8003, CPX-8005, CPX-8006, CPX-8108, CPX-3232, CPX-3263, TRIP12, CBL, NF1, CPX-441, HOXA9"
22,GO:0036503 (ERAD Pathway),9.330122171734627e-05,{'none': '100.00%'},"{'T4': '96.55%', 'T2': '3.45%'}",29,"SPRTN, UBQLN4, TMEM106B, CPX-8169, CPX-5622, CPX-8738, CPX-5621, ESCO2, SLC25A42, MARCHF6, RNF139, NR0B1, SPG11, ALS2, ATAD3A, HSPB8, CFAP410, RNF125, UBR1, UNC45B, MPLKIP, WIPI2, CLCF1, RAB11B, NEUROD2, UBE4A, SERAC1, CTU2, RALGAPA1"
23,GO:0032466 (Negative Regulation Of Cytokinesis),0.04585316559450927,"{'none': '96.97%', 'Down': '3.03%'}","{'T2': '24.24%', 'T4': '75.76%'}",33,"BRSK1, CPX-338, CLK3, CLK4, ZFYVE19, KRT81, CDC42BPG, SMOC1, RELT, BRSK2, EPG5, MAP4K3, PCDH11Y, ULK4, PTCH2, GCM2, FOXJ1, HIPK4, CTSF, PASK, TNPO2, ARL6, HHAT, SPART, THSD7A, AGBL5, SALL2, JAGN1, RALGPS2, NACC1, TAPT1, RAB23, GPR101"
24,GO:0048016 (Inositol Phosphate-Mediated Signaling),8.777967414356867e-21,"{'none': '96.67%', 'Up': '3.33%'}","{'T4': '81.67%', 'T2': '26.67%', 'T3': '11.67%', 'T1': '1.67%'}",60,"SNAP25, ADRB2, AGT, TH, DISC1, CPX-286, CPX-1001, CPX-1002, CPX-1003, CPX-1009, CPX-102, CPX-1048, CPX-1050, CPX-1112, CPX-1114, CPX-1116, CPX-1118, CPX-2341, CPX-674, CPX-902, CPX-998, GRK2, CNR1, EDN1, CALM1, CAV1, ADAR, NPPA, MECP2, ITPR1, MYL2, GJA1, CPX-3280, MYH7, ACTN2, MYH6, ATP2A2, MYBPC3, PNKP, CPX-4310, GFAP, SYP, CPX-4232, MAP1B, GBA, CPX-2349, MBP, PRNP, CD74, PRKCD, CPX-2479, CPX-2497, CPX-6567, ERBB4, NOS1, TSPO, CPX-7667, CPX-7668, PIEZO2, SPTBN2"
25,GO:0032660 (Regulation Of Interleukin-17 Production),7.928389315265526e-28,"{'none': '99.03%', 'Up': '0.97%'}","{'T4': '60.19%', 'T2': '39.81%', 'T3': '1.94%'}",103,"ZNF148, H1-4, NOG, CPX-6600, SPI1, EIF2AK2, IRF1, RIPK1, CPX-1988, ERN1, CPX-2496, CPX-6415, CPX-6473, CPX-6784, CPX-7004, CPX-7064, CPX-7106, EOMES, NUTM1, CSF1, TLR9, IL13, TGFBR1, MMP13, TGFBR2, MAP2K3, SMAD7, TBXT, CD40, IRF7, IRF3, TLR3, IRF8, CPX-5995, CPX-5996, CPX-5997, CPX-5998, CPX-5999, CPX-6000, CPX-6001, CPX-6002, CPX-6003, CPX-6004, CPX-6005, CPX-6006, CPX-6007, CPX-6008, CPX-6009, CPX-6010, CRYGC, RAG1, NOD2, IL7R, CD19, CPX-6582, CPX-6603, FASLG, TEK, TLR7, PRF1, HCK, TYK2, ANGPT2, CPX-1875, CPX-1876, CPX-2882, CPX-2883, CPX-2884, CPX-2885, CPX-2886, CPX-2892, IRAK1, ANGPT1, CPX-7403, BCAS3, PTK6, CTSL, CGAS, NLRP12, OAS1, PSTPIP1, IKBKE, IRAK4, CTNNA2, FLT4, TYRO3, MATK, CLDN4, NCKAP1L, DLL4, RORC, SDHAF2, DACT1, SOX11, CLDN2, MEGF10, EPOR, PIM3, DIAPH2, KANK1, RSPO1, TUBGCP2, DIABLO"
26,GO:0071565 (nBAF Complex),2.362745590650284e-67,"{'none': '98.00%', 'Up': '2.00%'}","{'T4': '88.00%', 'T2': '28.00%', 'T3': '10.00%'}",50,"CPX-8432, CPX-480, CPX-5156, CPX-316, CPX-6786, CPX-6123, CPX-3288, CPX-3285, CPX-5824, CPX-6093, CPX-663, CPX-759, PHGDH, CPX-1164, CPX-1194, CPX-1196, CPX-1199, CPX-1201, CPX-1202, CPX-1204, CPX-1205, CPX-1206, CPX-1207, CPX-1209, CPX-1210, CPX-1211, CPX-1213, CPX-1215, CPX-1216, CPX-1217, CPX-1218, CPX-1219, CPX-1220, CPX-1221, CPX-1222, CPX-1223, CPX-1224, CPX-1225, CPX-1226, CPX-1228, CPX-4084, CPX-4203, CPX-4206, CPX-4207, CPX-4224, CPX-4225, CPX-4226, CPX-2391, HMOX1, CPX-6570"
27,GO:2000785 (Regulation Of Autophagosome Assembly),0.01483381449420864,{'none': '100.00%'},"{'T2': '32.00%', 'T4': '68.00%', 'T3': '4.00%'}",50,"PIP4K2A, DNAAF4, HCRTR1, CFTR, GRN, ZC3H14, CPX-329, CD2AP, SMN2, VLDLR, SRPK2, KLC2, CPX-3961, CCKAR, RPL26, CPX-6271, TBX6, PLEKHG2, FZD4, CREB3L3, PREP, CPX-5151, PIKFYVE, PRSS1, CAVIN1, SLC9A9, PITX2, ESRRG, CREB3L2, CREB3L1, CPX-7669, CPX-7670, PAK2, EPHA4, TRAK1, PLAGL1, DEAF1, NKX6-2, RXFP2, ERC1, CRIPT, CPX-6272, WDR45, CSNK1G3, STK10, ULK2, WNK2, VRK2, ZFP57, CPX-6150"
28,GO:0160063 (Multi-Pass Transmembrane Protein Insertion Into ER Membrane),0.18844850495319174,"{'none': '97.62%', 'Up': '2.38%'}","{'T4': '85.71%', 'T2': '14.29%'}",42,"EDEM3, SEC23B, PLEKHM1, NEK9, PCM1, CPX-6312, AMBN, HSPBAP1, NADK2, STK26, CLP1, DDAH1, B3GLCT, TMEM230, ZPBP, GDAP2, AOPEP, MAP3K15, PPP1R15B, CD320, RNF13, SLC34A2, NAV3, SRPK3, GFER, CHIC2, CPX-5665, GORAB, FIGLA, CPX-7020, ALMS1, TUBB8, MAS1, BCAS4, TSPY1, CPX-5606, FREM1, DNAJC21, DIPK2B, NOBOX, SEPTIN11, APCDD1"
29,GO:0006312 (Mitotic Recombination),1.305357840930644e-09,{'none': '100.00%'},"{'T4': '77.78%', 'T2': '26.67%', 'T1': '6.67%', 'T3': '6.67%'}",45,"CPX-4442, WRN, RAD52, POLL, TP53BP1, CPX-4441, CPX-2182, CAMKMT, CDC6, CPX-419, CPX-77, CPX-80, CITED2, CPX-1860, HELLS, UHRF1, CPX-6094, CPX-660, CPX-661, CPX-6264, CPX-2363, CTSA, KIF23, SIX3, CENPE, MELK, PLK1, CDCA7, CDC7, PBK, RECQL4, CDK13, MLH1, PMS2, CDK12, CPX-2488, CPX-7261, PKMYT1, CPX-1159, HUWE1, TONSL, PRICKLE1, SMCHD1, ERCC6L2, TEX15"
