Node_id,prediction,DC,BC,CC,EC,CEN,ECC,RAD,Conectivity_Score
AGT,Up,0.7496402877697842,0.8813288189477936,0.9223700996446265,0.619335091894022,0.09479343520090547,1,0.9563404144402448,0.7037058934438557
APOE,Up,0.8172661870503597,0.9438273325345151,0.9465590033816282,0.6556216006201254,0.06451612903225809,1,0.9702854163951522,0.6801856898419562
ALDH7A1,Up,0.27482014388489207,0.198362509593873,0.6276513260249663,0.2893145378653572,0.40011318619128466,1,0.7565489378339634,0.5802406920215054
GLUD1,Up,0.20575539568345325,0.14112968011947857,0.5905565827369554,0.06879318860668898,0.45897000565930957,1,0.7267040271080414,0.40857558176011943
EPHX1,Up,0.1093525179856115,0.05478475475359076,0.3529211641138772,0.02628439716822229,0.8870967741935483,0.40000000000000036,0.5013684347712761,0.7003446709684152
SLC1A2,Up,0.25323741007194245,0.09805784145063852,0.587072653564191,0.2776344903748976,0.4711375212224108,0.40000000000000036,0.7238368304444154,0.6496931351303651
SLC4A4,Up,0.05755395683453238,0.07527483850016982,0.41394133404703415,0.02194123435412573,0.7835314091680815,0.40000000000000036,0.5656197054607062,0.534724049175496
CPX-1795,Up,0.437410071942446,0.24333815597952413,0.6546725421602448,0.34665883141506904,0.48302207130730046,1,0.7775316043268607,0.631024594585437
PHGDH,Up,0.581294964028777,0.3281047844369214,0.7701670514190815,0.6965696953637344,0.3024900962082626,1,0.8606803075720055,0.8220533416334129
CPX-2424,Up,0.4172661870503597,0.15652386650918265,0.6925703136980574,0.5008002952869244,0.42133559705715906,1,0.8059429167209697,0.5277620183920485
CPX-2443,Up,0.3669064748201439,0.09698467161308473,0.6678824861029564,0.46190650790780313,0.46123372948500274,1,0.7875667926495504,0.5729524639888758
CPX-2455,Up,0.4172661870503597,0.15652386650918265,0.6925703136980574,0.5008002952869244,0.42133559705715906,1,0.8059429167209697,0.5277620183920485
GJA1,Up,0.437410071942446,0.3072325006825171,0.8308649415377969,0.5075623525504429,0.21590265987549515,1,0.9005604066206176,0.539443885484152
SOX2,Up,1,1,0.9999999999999998,1,0,1,1,0.596632779781307
NOTCH2,Up,0.34388489208633094,0.1562184599541905,0.701483582834205,0.4508735158626409,0.40718732314657613,1,0.8124592727746642,0.6194914830262147
CPX-256,Up,0.4589928057553957,0.2277485165184491,0.7697823514004511,0.536589100580122,0.30305602716468594,1,0.860419653329858,0.6538648369278189
CPX-1820,Up,0.17985611510791366,0.04198907221836865,0.504209034289326,0.20796223032918462,0.6267685342388228,0.40000000000000036,0.6521569138537728,0.36674661144129006
IL17RD,Up,0.06618705035971224,0.03362378830603466,0.47457817409798797,0.03889023429811734,0.6762874929258631,0.40000000000000036,0.6247882184282547,0.40871006477268157
PALLD,Up,0.04460431654676259,0.015736914247680894,0.4099620963546271,0.0256825432470594,0.7951329937747594,0.40000000000000036,0.5615795647074155,0.4119867446837647
CPX-1804,Up,0.17985611510791366,0.029279714675504883,0.4562079939485335,0.2236717377384459,0.7241086587436332,0.40000000000000036,0.607324384204353,0.18302151887796503
SH3PXD2B,Up,0.014388489208633094,0.00011479814684489808,0.30751507876960416,0.0061205307563950715,0.9470854555744199,0.40000000000000036,0.4501498761892351,0.37450413475321964
SLC9A3R1,Up,0.15971223021582734,0.10731624397365588,0.6424896255117587,0.14472090342151608,0.5033955857385398,1,0.7681480516095398,0.5490379816624004
CPX-6175,Up,0.27482014388489207,0.21089080898474216,0.7070524243574146,0.09503957270085911,0.3984153933220147,1,0.8164994135279549,0.36780010083127235
TBL1X,Up,0.45323741007194246,0.2019078861060553,0.7344694793744935,0.5937400444548342,0.2436332767402377,1,0.8360484816890397,0.7532353273469762
GATM,Up,0.05755395683453238,0.014394674494945537,0.3730629831484631,0.014001400754891905,0.8466327108092813,0.40000000000000036,0.5231330639906164,0.40586321243307755
ATP1A2,Up,0.12661870503597122,0.040044857349808144,0.5777965172625867,0.18231007082096973,0.47481607243916246,1,0.7161475303010554,0.4066018129230231
SLC1A3,Up,0.18705035971223022,0.06628651795483122,0.5934172733292107,0.2553589392409212,0.4598189020939445,1,0.7290499152873711,0.5191278841808223
CPE,Up,0.03165467625899281,0.017454141136434054,0.40587521171897456,0.022947089932975694,0.7376910016977929,0.40000000000000036,0.5574090968330512,0.3462440192111502
WLS,Up,0.010071942446043166,0.007513077628419806,0.3157454708372842,0.004962180867019245,0.9468024900962082,0.40000000000000036,0.4596637560276293,0.20668936995454867
HTRA1,Up,0.030215827338129497,0.0112052228959594,0.3303980347695743,0.014367617077956276,0.9210526315789473,0.40000000000000036,0.47634562752508813,0.5320289344807779
LRP4,Up,0.02158273381294964,0.0015516392936240787,0.2908833976846683,0.013960710052329198,0.9601018675721562,0.40000000000000036,0.4306008080281507,0.6950058390610893
GPT2,Up,0.23741007194244604,0.058377244401852504,0.5205952419460593,0.23821804413547681,0.5947934352009054,0.40000000000000036,0.6668838785351232,0.5352533219142402
PAX6,Up,0.4776978417266187,0.25374962476627005,0.7230413545372156,0.4981214435899437,0.37351443123938877,1,0.8279682001824575,0.4892032246103676
PSAT1,Up,0.16546762589928057,0.10535516482172412,0.5172342854655119,0.054420772505935994,0.6004527447651387,1,0.6638863547504235,0.42695259019492027
SOX9,Up,0.5482014388489209,0.33553419309486643,0.7550856202367435,0.5490087361915298,0.32484436898698354,1,0.8503844650071679,0.5758357341539292
KLF15,Up,0.05755395683453238,0.001472684291066626,0.5079513698985783,0.09024022686949314,0.5998868138087153,0.40000000000000036,0.6555454190016938,0.6366955748526774
ACOX2,Up,0.11366906474820145,0.09914401911683651,0.5046399978654807,0.042588767685737904,0.6199773627617431,1,0.652547895216995,0.42473273069261697
CPX-6245,Up,0.27050359712230215,0.1812117662995559,0.5781093724809245,0.23885682989369064,0.4872665534804753,1,0.7164081845432038,0.457003072020991
ALDH6A1,Up,0.06474820143884893,0.0102386193007079,0.38587508666197246,0.019911340862302545,0.7470288624787775,0.40000000000000036,0.5366870845823017,0.3716289279703726
CPX-4742,Up,0.0748201438848921,0.01728916124972916,0.44570091657063426,0.02711342780962568,0.7113752122241086,0.40000000000000036,0.5971588687605891,0.3420305013803798
LIFR,Up,0.1251798561151079,0.03955064205929805,0.5763900413169201,0.11783322338977843,0.6188455008488964,1,0.7149745862113903,0.5804350618640267
