GO_term,Term_Name_Clean,Ontology
GO:0007259,Receptor Signaling Pathway Via JAK-STAT,Biological process
GO:0071407,Cellular Response To Organic Cyclic Compound,Biological process
GO:1902099,Regulation Of Metaphase/Anaphase Transition Of Cell Cycle,Biological process
GO:0030071,Regulation Of Mitotic Metaphase/Anaphase Transition,Biological process
GO:0000723,Telomere Maintenance,Biological process
GO:0033674,Positive Regulation Of Kinase Activity,Biological process
GO:0046651,Lymphocyte Proliferation,Biological process
GO:0006511,Ubiquitin-Dependent Protein Catabolic Process,Biological process
GO:0007601,Visual Perception,Biological process
GO:0051091,Positive Regulation Of DNA-binding Transcription Factor Activity,Biological process
GO:0006915,Apoptotic Process,Biological process
GO:0022607,Cellular Component Assembly,Biological process
GO:0098916,Anterograde Trans-Synaptic Signaling,Biological process
GO:0098586,Cellular Response To Virus,Biological process
GO:0000165,MAPK Cascade,Biological process
GO:0007420,Brain Development,Biological process
GO:0032206,Positive Regulation Of Telomere Maintenance,Biological process
GO:0030183,B Cell Differentiation,Biological process
GO:0043966,Histone H3 Acetylation,Biological process
GO:0060048,Cardiac Muscle Contraction,Biological process
GO:0000725,Recombinational Repair,Biological process
GO:0071363,Cellular Response To Growth Factor Stimulus,Biological process
GO:0098659,Inorganic Cation Import Across Plasma Membrane,Biological process
GO:0030335,Positive Regulation Of Cell Migration,Biological process
GO:2000819,Regulation Of Nucleotide-Excision Repair,Biological process
GO:0032200,Telomere Organization,Biological process
GO:0006289,Nucleotide-Excision Repair,Biological process
GO:0001501,Skeletal System Development,Biological process
GO:0060047,Heart Contraction,Biological process
GO:1901990,Regulation Of Mitotic Cell Cycle Phase Transition,Biological process
GO:0010569,Regulation Of Double-Strand Break Repair Via Homologous Recombination,Biological process
GO:0006275,Regulation Of DNA Replication,Biological process
GO:0034243,Regulation Of Transcription Elongation By RNA Polymerase II,Biological process
GO:0043254,Regulation Of Protein-Containing Complex Assembly,Biological process
GO:0010605,Negative Regulation Of Macromolecule Metabolic Process,Biological process
GO:0006476,Protein Deacetylation,Biological process
GO:0051247,Positive Regulation Of Protein Metabolic Process,Biological process
GO:0071345,Cellular Response To Cytokine Stimulus,Biological process
GO:0001819,Positive Regulation Of Cytokine Production,Biological process
GO:0030326,Embryonic Limb Morphogenesis,Biological process
GO:0097696,Receptor Signaling Pathway Via STAT,Biological process
GO:2000045,Regulation Of G1/S Transition Of Mitotic Cell Cycle,Biological process
GO:0033108,Mitochondrial Respiratory Chain Complex Assembly,Biological process
GO:0140888,Interferon-Mediated Signaling Pathway,Biological process
