GO_term,Term_Name_Clean,Ontology
GO:2000379,Positive Regulation Of Reactive Oxygen Species Metabolic Process,Biological process
GO:2001242,Regulation Of Intrinsic Apoptotic Signaling Pathway,Biological process
GO:0051260,Protein Homooligomerization,Biological process
GO:0006605,Protein Targeting,Biological process
GO:0043122,Regulation Of I-kappaB kinase/NF-kappaB Signaling,Biological process
GO:1900181,Negative Regulation Of Protein Localization To Nucleus,Biological process
GO:0034472,snRNA 3'-End Processing,Biological process
GO:0048145,Regulation Of Fibroblast Proliferation,Biological process
GO:0032092,Positive Regulation Of Protein Binding,Biological process
GO:0010558,Negative Regulation Of Macromolecule Biosynthetic Process,Biological process
GO:0043588,Skin Development,Biological process
GO:0009081,Branched-Chain Amino Acid Metabolic Process,Biological process
GO:0052695,Cellular Glucuronidation,Biological process
GO:0019585,Glucuronate Metabolic Process,Biological process
GO:0061952,Midbody Abscission,Biological process
GO:0045945,Positive Regulation Of Transcription By RNA Polymerase III,Biological process
GO:0040014,Regulation Of Multicellular Organism Growth,Biological process
GO:1901655,Cellular Response To Ketone,Biological process
GO:0072655,Establishment Of Protein Localization To Mitochondrion,Biological process
GO:0006812,Monoatomic Cation Transport,Biological process
GO:2000058,Regulation Of Ubiquitin-Dependent Protein Catabolic Process,Biological process
GO:0051403,Stress-Activated MAPK Cascade,Biological process
GO:0038094,Fc-gamma Receptor Signaling Pathway,Biological process
GO:0006775,Fat-Soluble Vitamin Metabolic Process,Biological process
GO:0051246,Regulation Of Protein Metabolic Process,Biological process
GO:0071310,Cellular Response To Organic Substance,Biological process
GO:0061512,Protein Localization To Cilium,Biological process
GO:0006110,Regulation Of Glycolytic Process,Biological process
GO:0062012,Regulation Of Small Molecule Metabolic Process,Biological process
GO:0051966,"Regulation Of Synaptic Transmission, Glutamatergic",Biological process
GO:0019933,cAMP-mediated Signaling,Biological process
GO:0043010,Camera-Type Eye Development,Biological process
GO:0031571,Mitotic G1 DNA Damage Checkpoint Signaling,Biological process
GO:0043552,Positive Regulation Of Phosphatidylinositol 3-Kinase Activity,Biological process
GO:0045637,Regulation Of Myeloid Cell Differentiation,Biological process
GO:0000086,G2/M Transition Of Mitotic Cell Cycle,Biological process
GO:0032480,Negative Regulation Of Type I Interferon Production,Biological process
GO:0030501,Positive Regulation Of Bone Mineralization,Biological process
GO:0009968,Negative Regulation Of Signal Transduction,Biological process
GO:0030330,"DNA Damage Response, Signal Transduction By P53 Class Mediator",Biological process
GO:2000273,Positive Regulation Of Signaling Receptor Activity,Biological process
GO:0031648,Protein Destabilization,Biological process
GO:0098901,Regulation Of Cardiac Muscle Cell Action Potential,Biological process
GO:0042060,Wound Healing,Biological process
GO:0007007,Inner Mitochondrial Membrane Organization,Biological process
GO:0010959,Regulation Of Metal Ion Transport,Biological process
GO:0043551,Regulation Of Phosphatidylinositol 3-Kinase Activity,Biological process
GO:0045815,Transcription Initiation-Coupled Chromatin Remodeling,Biological process
GO:0032392,DNA Geometric Change,Biological process
GO:0002220,Innate Immune Response Activating Cell Surface Receptor Signaling Pathway,Biological process
GO:0043507,Positive Regulation Of JUN Kinase Activity,Biological process
GO:0090218,Positive Regulation Of Lipid Kinase Activity,Biological process
GO:0010743,Regulation Of Macrophage Derived Foam Cell Differentiation,Biological process
GO:0050796,Regulation Of Insulin Secretion,Biological process
GO:0060972,Left/Right Pattern Formation,Biological process
GO:0051310,Metaphase Plate Congression,Biological process
GO:0032872,Regulation Of Stress-Activated MAPK Cascade,Biological process
GO:0010976,Positive Regulation Of Neuron Projection Development,Biological process
GO:0071897,DNA Biosynthetic Process,Biological process
GO:0007213,G Protein-Coupled Acetylcholine Receptor Signaling Pathway,Biological process
GO:0009083,Branched-Chain Amino Acid Catabolic Process,Biological process
GO:0030219,Megakaryocyte Differentiation,Biological process
GO:2000773,Negative Regulation Of Cellular Senescence,Biological process
GO:0000291,"Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic",Biological process
GO:0045761,Regulation Of Adenylate Cyclase Activity,Biological process
GO:0008630,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage,Biological process
GO:2000630,Positive Regulation Of miRNA Metabolic Process,Biological process
GO:0030182,Neuron Differentiation,Biological process
GO:0050766,Positive Regulation Of Phagocytosis,Biological process
GO:0070914,UV-damage Excision Repair,Biological process
GO:0008344,Adult Locomotory Behavior,Biological process
GO:0086014,Atrial Cardiac Muscle Cell Action Potential,Biological process
GO:0006287,"Base-Excision Repair, Gap-Filling",Biological process
GO:0043928,Exonucleolytic Catabolism Of Deadenylated mRNA,Biological process
GO:0030851,Granulocyte Differentiation,Biological process
GO:0043984,Histone H4-K16 Acetylation,Biological process
GO:0035542,Regulation Of SNARE Complex Assembly,Biological process
GO:0015031,Protein Transport,Biological process
GO:0032880,Regulation Of Protein Localization,Biological process
GO:0030177,Positive Regulation Of Wnt Signaling Pathway,Biological process
GO:0046578,Regulation Of Ras Protein Signal Transduction,Biological process
GO:0032663,Regulation Of Interleukin-2 Production,Biological process
GO:0061041,Regulation Of Wound Healing,Biological process
GO:0061795,Golgi Lumen Acidification,Biological process
GO:0034333,Adherens Junction Assembly,Biological process
GO:0061763,Multivesicular Body-Lysosome Fusion,Biological process
GO:0071028,Nuclear mRNA Surveillance,Biological process
GO:1904851,Positive Regulation Of Establishment Of Protein Localization To Telomere,Biological process
GO:0002053,Positive Regulation Of Mesenchymal Cell Proliferation,Biological process
GO:0045050,Protein Insertion Into ER Membrane By Stop-Transfer Membrane-Anchor Sequence,Biological process
GO:0000722,Telomere Maintenance Via Recombination,Biological process
GO:0090657,Telomeric Loop Disassembly,Biological process
GO:0051469,Vesicle Fusion With Vacuole,Biological process
GO:0007517,Muscle Organ Development,Biological process
GO:0008203,Cholesterol Metabolic Process,Biological process
GO:0048812,Neuron Projection Morphogenesis,Biological process
GO:0007368,Determination Of Left/Right Symmetry,Biological process
GO:0031323,Regulation Of Cellular Metabolic Process,Biological process
GO:0051170,Import Into Nucleus,Biological process
GO:0006469,Negative Regulation Of Protein Kinase Activity,Biological process
GO:0120034,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly,Biological process
GO:0006897,Endocytosis,Biological process
GO:0034314,Arp2/3 Complex-Mediated Actin Nucleation,Biological process
GO:0071870,Cellular Response To Catecholamine Stimulus,Biological process
GO:0042417,Dopamine Metabolic Process,Biological process
GO:0000083,Regulation Of Transcription Involved In G1/S Transition Of Mitotic Cell Cycle,Biological process
GO:0032147,Activation Of Protein Kinase Activity,Biological process
GO:2001257,Regulation Of Cation Channel Activity,Biological process
GO:0042509,Regulation Of Tyrosine Phosphorylation Of STAT Protein,Biological process
GO:1902895,Positive Regulation Of miRNA Transcription,Biological process
GO:0048762,Mesenchymal Cell Differentiation,Biological process
GO:1903322,Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal,Biological process
GO:0022603,Regulation Of Anatomical Structure Morphogenesis,Biological process
GO:0003203,Endocardial Cushion Morphogenesis,Biological process
GO:0030225,Macrophage Differentiation,Biological process
GO:0032727,Positive Regulation Of Interferon-Alpha Production,Biological process
GO:0016073,snRNA Metabolic Process,Biological process
GO:0120036,Plasma Membrane Bounded Cell Projection Organization,Biological process
GO:0070828,Heterochromatin Organization,Biological process
GO:0000288,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay",Biological process
GO:0032781,Positive Regulation Of ATP-dependent Activity,Biological process
GO:0060236,Regulation Of Mitotic Spindle Organization,Biological process
GO:0006690,Icosanoid Metabolic Process,Biological process
GO:0048585,Negative Regulation Of Response To Stimulus,Biological process
GO:0023056,Positive Regulation Of Signaling,Biological process
GO:0045010,Actin Nucleation,Biological process
GO:0010592,Positive Regulation Of Lamellipodium Assembly,Biological process
GO:0055075,Potassium Ion Homeostasis,Biological process
GO:0010611,Regulation Of Cardiac Muscle Hypertrophy,Biological process
GO:1903844,Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus,Biological process
GO:0032673,Regulation Of Interleukin-4 Production,Biological process
GO:0010720,Positive Regulation Of Cell Development,Biological process
GO:0060078,Regulation Of Postsynaptic Membrane Potential,Biological process
GO:0007080,Mitotic Metaphase Plate Congression,Biological process
GO:0051050,Positive Regulation Of Transport,Biological process
GO:0006090,Pyruvate Metabolic Process,Biological process
GO:0042255,Ribosome Assembly,Biological process
GO:0001656,Metanephros Development,Biological process
GO:0032743,Positive Regulation Of Interleukin-2 Production,Biological process
GO:0033146,Regulation Of Intracellular Estrogen Receptor Signaling Pathway,Biological process
GO:0006891,intra-Golgi Vesicle-Mediated Transport,Biological process
GO:0045747,Positive Regulation Of Notch Signaling Pathway,Biological process
GO:0010591,Regulation Of Lamellipodium Assembly,Biological process
GO:1901379,Regulation Of Potassium Ion Transmembrane Transport,Biological process
GO:0043162,Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway,Biological process
GO:0001570,Vasculogenesis,Biological process
GO:0090110,COPII-coated Vesicle Cargo Loading,Biological process
GO:0001732,Formation Of Cytoplasmic Translation Initiation Complex,Biological process
GO:0071715,Icosanoid Transport,Biological process
GO:0006312,Mitotic Recombination,Biological process
GO:0046823,Negative Regulation Of Nucleocytoplasmic Transport,Biological process
GO:0035066,Positive Regulation Of Histone Acetylation,Biological process
GO:0045346,Regulation Of MHC Class II Biosynthetic Process,Biological process
GO:0042659,Regulation Of Cell Fate Specification,Biological process
GO:0099116,tRNA 5'-End Processing,Biological process
GO:0055008,Cardiac Muscle Tissue Morphogenesis,Biological process
GO:0098815,Modulation Of Excitatory Postsynaptic Potential,Biological process
GO:2000279,Negative Regulation Of DNA Biosynthetic Process,Biological process
GO:0033144,Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway,Biological process
GO:1900087,Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle,Biological process
GO:0010824,Regulation Of Centrosome Duplication,Biological process
GO:0002831,Regulation Of Response To Biotic Stimulus,Biological process
GO:0045048,Protein Insertion Into ER Membrane,Biological process
GO:0048638,Regulation Of Developmental Growth,Biological process
GO:0090169,Regulation Of Spindle Assembly,Biological process
GO:0031333,Negative Regulation Of Protein-Containing Complex Assembly,Biological process
GO:0001818,Negative Regulation Of Cytokine Production,Biological process
GO:0030307,Positive Regulation Of Cell Growth,Biological process
GO:0006401,RNA Catabolic Process,Biological process
GO:0032869,Cellular Response To Insulin Stimulus,Biological process
GO:0009749,Response To Glucose,Biological process
GO:0001764,Neuron Migration,Biological process
GO:0060348,Bone Development,Biological process
GO:0032091,Negative Regulation Of Protein Binding,Biological process
GO:0031669,Cellular Response To Nutrient Levels,Biological process
GO:0097202,Activation Of Cysteine-Type Endopeptidase Activity,Biological process
GO:0035720,Intraciliary Anterograde Transport,Biological process
GO:0086012,Membrane Depolarization During Cardiac Muscle Cell Action Potential,Biological process
GO:0055023,Positive Regulation Of Cardiac Muscle Tissue Growth,Biological process
GO:0006625,Protein Targeting To Peroxisome,Biological process
GO:1901096,Regulation Of Autophagosome Maturation,Biological process
GO:0072091,Regulation Of Stem Cell Proliferation,Biological process
GO:0007519,Skeletal Muscle Tissue Development,Biological process
GO:0043484,Regulation Of RNA Splicing,Biological process
GO:0050730,Regulation Of Peptidyl-Tyrosine Phosphorylation,Biological process
GO:0051289,Protein Homotetramerization,Biological process
GO:0016055,Wnt Signaling Pathway,Biological process
GO:0044839,Cell Cycle G2/M Phase Transition,Biological process
GO:0045197,Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity,Biological process
GO:0048854,Brain Morphogenesis,Biological process
GO:0050962,Detection Of Light Stimulus Involved In Sensory Perception,Biological process
GO:0050908,Detection Of Light Stimulus Involved In Visual Perception,Biological process
GO:0048388,Endosomal Lumen Acidification,Biological process
GO:0097212,Lysosomal Membrane Organization,Biological process
GO:1901380,Negative Regulation Of Potassium Ion Transmembrane Transport,Biological process
GO:0070423,Nucleotide-Binding Oligomerization Domain Containing Signaling Pathway,Biological process
GO:1901361,Organic Cyclic Compound Catabolic Process,Biological process
GO:1904177,Regulation Of Adipose Tissue Development,Biological process
GO:1903649,Regulation Of Cytoplasmic Transport,Biological process
GO:0097264,Self Proteolysis,Biological process
GO:0031126,sno(s)RNA 3'-End Processing,Biological process
GO:0051259,Protein Complex Oligomerization,Biological process
GO:0061448,Connective Tissue Development,Biological process
GO:0051650,Establishment Of Vesicle Localization,Biological process
GO:0072595,Maintenance Of Protein Localization In Organelle,Biological process
GO:0032400,Melanosome Localization,Biological process
GO:1904951,Positive Regulation Of Establishment Of Protein Localization,Biological process
GO:2000001,Regulation Of DNA Damage Checkpoint,Biological process
GO:0002819,Regulation Of Adaptive Immune Response,Biological process
GO:1902749,Regulation Of Cell Cycle G2/M Phase Transition,Biological process
GO:0030856,Regulation Of Epithelial Cell Differentiation,Biological process
GO:0060307,Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization,Biological process
GO:0070293,Renal Absorption,Biological process
GO:0043409,Negative Regulation Of MAPK Cascade,Biological process
GO:0050671,Positive Regulation Of Lymphocyte Proliferation,Biological process
GO:0009966,Regulation Of Signal Transduction,Biological process
GO:0051898,Negative Regulation Of Protein Kinase B Signaling,Biological process
GO:0051283,Negative Regulation Of Sequestering Of Calcium Ion,Biological process
GO:0045646,Regulation Of Erythrocyte Differentiation,Biological process
GO:0099177,Regulation Of Trans-Synaptic Signaling,Biological process
GO:0030218,Erythrocyte Differentiation,Biological process
GO:0051962,Positive Regulation Of Nervous System Development,Biological process
GO:0010822,Positive Regulation Of Mitochondrion Organization,Biological process
GO:0071333,Cellular Response To Glucose Stimulus,Biological process
GO:0070301,Cellular Response To Hydrogen Peroxide,Biological process
GO:0045943,Positive Regulation Of Transcription By RNA Polymerase I,Biological process
GO:0006623,Protein Targeting To Vacuole,Biological process
GO:0038096,Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis,Biological process
GO:0032469,Endoplasmic Reticulum Calcium Ion Homeostasis,Biological process
GO:0007214,Gamma-Aminobutyric Acid Signaling Pathway,Biological process
GO:0001707,Mesoderm Formation,Biological process
GO:0032986,protein-DNA Complex Disassembly,Biological process
GO:0010882,Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling,Biological process
GO:0003254,Regulation Of Membrane Depolarization,Biological process
GO:1901673,Regulation Of Mitotic Spindle Assembly,Biological process
GO:0030178,Negative Regulation Of Wnt Signaling Pathway,Biological process
GO:0086069,Bundle Of His Cell To Purkinje Myocyte Communication,Biological process
GO:0160063,Multi-Pass Transmembrane Protein Insertion Into ER Membrane,Biological process
GO:1903204,Negative Regulation Of Oxidative Stress-Induced Neuron Death,Biological process
GO:1905665,Positive Regulation Of Calcium Ion Import Across Plasma Membrane,Biological process
GO:0072527,Pyrimidine-Containing Compound Metabolic Process,Biological process
GO:0000301,"Retrograde Transport, Vesicle Recycling Within Golgi",Biological process
GO:0090596,Sensory Organ Morphogenesis,Biological process
GO:0016447,Somatic Recombination Of Immunoglobulin Gene Segments,Biological process
GO:0007260,Tyrosine Phosphorylation Of STAT Protein,Biological process
GO:0001952,Regulation Of Cell-Matrix Adhesion,Biological process
GO:0006606,Protein Import Into Nucleus,Biological process
GO:0048661,Positive Regulation Of Smooth Muscle Cell Proliferation,Biological process
GO:0031507,Heterochromatin Formation,Biological process
GO:0007006,Mitochondrial Membrane Organization,Biological process
GO:0045599,Negative Regulation Of Fat Cell Differentiation,Biological process
GO:0001843,Neural Tube Closure,Biological process
GO:0009205,Purine Ribonucleoside Triphosphate Metabolic Process,Biological process
GO:1901019,Regulation Of Calcium Ion Transmembrane Transporter Activity,Biological process
GO:0010874,Regulation Of Cholesterol Efflux,Biological process
GO:0044773,Mitotic DNA Damage Checkpoint Signaling,Biological process
GO:0002431,Fc Receptor Mediated Stimulatory Signaling Pathway,Biological process
GO:0010875,Positive Regulation Of Cholesterol Efflux,Biological process
GO:1904353,Regulation Of Telomere Capping,Biological process
GO:0010332,Response To Gamma Radiation,Biological process
GO:0036257,Multivesicular Body Organization,Biological process
GO:1901020,Negative Regulation Of Calcium Ion Transmembrane Transporter Activity,Biological process
GO:0009855,Determination Of Bilateral Symmetry,Biological process
GO:0060173,Limb Development,Biological process
GO:0042471,Ear Morphogenesis,Biological process
GO:0071985,Multivesicular Body Sorting Pathway,Biological process
GO:0032413,Negative Regulation Of Ion Transmembrane Transporter Activity,Biological process
GO:0003148,Outflow Tract Septum Morphogenesis,Biological process
GO:0046627,Negative Regulation Of Insulin Receptor Signaling Pathway,Biological process
GO:0045648,Positive Regulation Of Erythrocyte Differentiation,Biological process
GO:0032647,Regulation Of Interferon-Alpha Production,Biological process
GO:0015850,Organic Hydroxy Compound Transport,Biological process
GO:0031399,Regulation Of Protein Modification Process,Biological process
GO:0050806,Positive Regulation Of Synaptic Transmission,Biological process
GO:0032446,Protein Modification By Small Protein Conjugation,Biological process
GO:0032007,Negative Regulation Of TOR Signaling,Biological process
GO:0031397,Negative Regulation Of Protein Ubiquitination,Biological process
GO:0051781,Positive Regulation Of Cell Division,Biological process
GO:0043506,Regulation Of JUN Kinase Activity,Biological process
GO:0016050,Vesicle Organization,Biological process
GO:1901890,Positive Regulation Of Cell Junction Assembly,Biological process
GO:0006613,Cotranslational Protein Targeting To Membrane,Biological process
GO:0070102,Interleukin-6-Mediated Signaling Pathway,Biological process
GO:0032042,Mitochondrial DNA Metabolic Process,Biological process
GO:0060045,Positive Regulation Of Cardiac Muscle Cell Proliferation,Biological process
GO:0097479,Synaptic Vesicle Localization,Biological process
GO:0019369,Arachidonic Acid Metabolic Process,Biological process
GO:0032496,Response To Lipopolysaccharide,Biological process
GO:0032886,Regulation Of Microtubule-Based Process,Biological process
GO:1990928,Response To Amino Acid Starvation,Biological process
GO:1903076,Regulation Of Protein Localization To Plasma Membrane,Biological process
GO:0043009,Chordate Embryonic Development,Biological process
GO:0045862,Positive Regulation Of Proteolysis,Biological process
GO:1904062,Regulation Of Monoatomic Cation Transmembrane Transport,Biological process
GO:0051209,Release Of Sequestered Calcium Ion Into Cytosol,Biological process
GO:0007005,Mitochondrion Organization,Biological process
GO:0007052,Mitotic Spindle Organization,Biological process
GO:0034250,Positive Regulation Of Amide Metabolic Process,Biological process
GO:1901800,Positive Regulation Of Proteasomal Protein Catabolic Process,Biological process
GO:0042692,Muscle Cell Differentiation,Biological process
GO:0050691,Regulation Of Defense Response To Virus By Host,Biological process
GO:0030278,Regulation Of Ossification,Biological process
GO:1900744,Regulation Of p38MAPK Cascade,Biological process
GO:0099504,Synaptic Vesicle Cycle,Biological process
GO:0003281,Ventricular Septum Development,Biological process
GO:0051604,Protein Maturation,Biological process
GO:0006396,RNA Processing,Biological process
GO:0008610,Lipid Biosynthetic Process,Biological process
GO:0010038,Response To Metal Ion,Biological process
GO:0043029,T Cell Homeostasis,Biological process
GO:0032402,Melanosome Transport,Biological process
GO:1904063,Negative Regulation Of Cation Transmembrane Transport,Biological process
GO:0030857,Negative Regulation Of Epithelial Cell Differentiation,Biological process
GO:0051904,Pigment Granule Transport,Biological process
GO:0043268,Positive Regulation Of Potassium Ion Transport,Biological process
GO:0032925,Regulation Of Activin Receptor Signaling Pathway,Biological process
GO:0042311,Vasodilation,Biological process
GO:2000060,Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process,Biological process
GO:0032103,Positive Regulation Of Response To External Stimulus,Biological process
GO:0019319,Hexose Biosynthetic Process,Biological process
GO:0070527,Platelet Aggregation,Biological process
GO:0032755,Positive Regulation Of Interleukin-6 Production,Biological process
GO:0030239,Myofibril Assembly,Biological process
GO:0034661,ncRNA Catabolic Process,Biological process
GO:0051254,Positive Regulation Of RNA Metabolic Process,Biological process
GO:0045444,Fat Cell Differentiation,Biological process
GO:0061640,Cytoskeleton-Dependent Cytokinesis,Biological process
GO:1902176,Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway,Biological process
GO:0010613,Positive Regulation Of Cardiac Muscle Hypertrophy,Biological process
GO:0061036,Positive Regulation Of Cartilage Development,Biological process
GO:0010460,Positive Regulation Of Heart Rate,Biological process
GO:2000758,Positive Regulation Of Peptidyl-Lysine Acetylation,Biological process
GO:1901381,Positive Regulation Of Potassium Ion Transmembrane Transport,Biological process
GO:0051057,Positive Regulation Of Small GTPase Mediated Signal Transduction,Biological process
GO:0090329,Regulation Of DNA-templated DNA Replication,Biological process
GO:0043457,Regulation Of Cellular Respiration,Biological process
GO:0000028,Ribosomal Small Subunit Assembly,Biological process
GO:0008380,RNA Splicing,Biological process
GO:0032376,Positive Regulation Of Cholesterol Transport,Biological process
GO:0071168,Protein Localization To Chromatin,Biological process
GO:0032355,Response To Estradiol,Biological process
GO:0000018,Regulation Of DNA Recombination,Biological process
GO:0008406,Gonad Development,Biological process
GO:0046425,Regulation Of Receptor Signaling Pathway Via JAK-STAT,Biological process
GO:0051100,Negative Regulation Of Binding,Biological process
GO:0032774,RNA Biosynthetic Process,Biological process
GO:0000132,Establishment Of Mitotic Spindle Orientation,Biological process
GO:0140467,Integrated Stress Response Signaling,Biological process
GO:0036258,Multivesicular Body Assembly,Biological process
GO:0006473,Protein Acetylation,Biological process
GO:0007035,Vacuolar Acidification,Biological process
GO:0031330,Negative Regulation Of Cellular Catabolic Process,Biological process
GO:0050767,Regulation Of Neurogenesis,Biological process
GO:0006614,SRP-dependent Cotranslational Protein Targeting To Membrane,Biological process
GO:0099622,Cardiac Muscle Cell Membrane Repolarization,Biological process
GO:0071350,Cellular Response To Interleukin-15,Biological process
GO:0035113,Embryonic Appendage Morphogenesis,Biological process
GO:1904019,Epithelial Cell Apoptotic Process,Biological process
GO:0033539,Fatty Acid Beta-Oxidation Using acyl-CoA Dehydrogenase,Biological process
GO:0001325,Formation Of Extrachromosomal Circular DNA,Biological process
GO:0035723,Interleukin-15-Mediated Signaling Pathway,Biological process
GO:0035855,Megakaryocyte Development,Biological process
GO:1902969,Mitotic DNA Replication,Biological process
GO:0071027,Nuclear RNA Surveillance,Biological process
GO:0045579,Positive Regulation Of B Cell Differentiation,Biological process
GO:0045348,Positive Regulation Of MHC Class II Biosynthetic Process,Biological process
GO:1904871,Positive Regulation Of Protein Localization To Cajal Body,Biological process
GO:0009206,Purine Ribonucleoside Triphosphate Biosynthetic Process,Biological process
GO:1904869,Regulation Of Protein Localization To Cajal Body,Biological process
GO:0048489,Synaptic Vesicle Transport,Biological process
GO:0090656,T-Circle Formation,Biological process
GO:0090737,Telomere Maintenance Via Telomere Trimming,Biological process
GO:1990858,Cellular Response To Lectin,Biological process
GO:0048592,Eye Morphogenesis,Biological process
GO:0005977,Glycogen Metabolic Process,Biological process
GO:0007064,Mitotic Sister Chromatid Cohesion,Biological process
GO:0051402,Neuron Apoptotic Process,Biological process
GO:0016075,rRNA Catabolic Process,Biological process
GO:1903146,Regulation Of Autophagy Of Mitochondrion,Biological process
GO:2000641,Regulation Of Early Endosome To Late Endosome Transport,Biological process
GO:0016180,snRNA Processing,Biological process
GO:0120178,Steroid Hormone Biosynthetic Process,Biological process
GO:0002223,Stimulatory C-type Lectin Receptor Signaling Pathway,Biological process
GO:0051252,Regulation Of RNA Metabolic Process,Biological process
GO:0001701,In Utero Embryonic Development,Biological process
GO:0061515,Myeloid Cell Development,Biological process
GO:1900077,Negative Regulation Of Cellular Response To Insulin Stimulus,Biological process
GO:0045429,Positive Regulation Of Nitric Oxide Biosynthetic Process,Biological process
GO:0006515,Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins,Biological process
GO:2001239,Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand,Biological process
GO:0035249,"Synaptic Transmission, Glutamatergic",Biological process
GO:0000079,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity,Biological process
GO:0006906,Vesicle Fusion,Biological process
GO:0031570,DNA Integrity Checkpoint Signaling,Biological process
GO:0034198,Cellular Response To Amino Acid Starvation,Biological process
GO:1904427,Positive Regulation Of Calcium Ion Transmembrane Transport,Biological process
GO:0031145,Anaphase-Promoting Complex-Dependent Catabolic Process,Biological process
GO:2000042,Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination,Biological process
GO:0001778,Plasma Membrane Repair,Biological process
GO:1901798,Positive Regulation Of Signal Transduction By P53 Class Mediator,Biological process
GO:2000679,Positive Regulation Of Transcription Regulatory Region DNA Binding,Biological process
GO:0019218,Regulation Of Steroid Metabolic Process,Biological process
GO:0006695,Cholesterol Biosynthetic Process,Biological process
GO:0051055,Negative Regulation Of Lipid Biosynthetic Process,Biological process
GO:0045879,Negative Regulation Of Smoothened Signaling Pathway,Biological process
GO:1904357,Negative Regulation Of Telomere Maintenance Via Telomere Lengthening,Biological process
GO:1901987,Regulation Of Cell Cycle Phase Transition,Biological process
GO:0055078,Sodium Ion Homeostasis,Biological process
GO:0060395,SMAD Protein Signal Transduction,Biological process
GO:1904377,Positive Regulation Of Protein Localization To Cell Periphery,Biological process
GO:1903078,Positive Regulation Of Protein Localization To Plasma Membrane,Biological process
GO:0060840,Artery Development,Biological process
GO:0015721,Bile Acid And Bile Salt Transport,Biological process
GO:0043153,Entrainment Of Circadian Clock By Photoperiod,Biological process
GO:1903202,Negative Regulation Of Oxidative Stress-Induced Cell Death,Biological process
GO:0007162,Negative Regulation Of Cell Adhesion,Biological process
GO:0007179,Transforming Growth Factor Beta Receptor Signaling Pathway,Biological process
GO:0051028,mRNA Transport,Biological process
GO:1903828,Negative Regulation Of Protein Localization,Biological process
GO:0048667,Cell Morphogenesis Involved In Neuron Differentiation,Biological process
GO:0046330,Positive Regulation Of JNK Cascade,Biological process
GO:2001234,Negative Regulation Of Apoptotic Signaling Pathway,Biological process
GO:2001259,Positive Regulation Of Cation Channel Activity,Biological process
GO:0046928,Regulation Of Neurotransmitter Secretion,Biological process
GO:0043062,Extracellular Structure Organization,Biological process
GO:0032675,Regulation Of Interleukin-6 Production,Biological process
GO:0034475,U4 snRNA 3'-End Processing,Biological process
GO:0007197,Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway,Biological process
GO:0003300,Cardiac Muscle Hypertrophy,Biological process
GO:0060973,Cell Migration Involved In Heart Development,Biological process
GO:0071872,Cellular Response To Epinephrine Stimulus,Biological process
GO:0071352,Cellular Response To Interleukin-2,Biological process
GO:0060397,Growth Hormone Receptor Signaling Pathway Via JAK-STAT,Biological process
GO:0035315,Hair Cell Differentiation,Biological process
GO:0038110,Interleukin-2-Mediated Signaling Pathway,Biological process
GO:0036289,Peptidyl-Serine Autophosphorylation,Biological process
GO:1904179,Positive Regulation Of Adipose Tissue Development,Biological process
GO:1905821,Positive Regulation Of Chromosome Condensation,Biological process
GO:0060623,Regulation Of Chromosome Condensation,Biological process
GO:0043300,Regulation Of Leukocyte Degranulation,Biological process
GO:1901524,Regulation Of Mitophagy,Biological process
GO:0071871,Response To Epinephrine,Biological process
GO:0016446,Somatic Hypermutation Of Immunoglobulin Genes,Biological process
GO:0070127,tRNA Aminoacylation For Mitochondrial Protein Translation,Biological process
GO:0106354,tRNA Surveillance,Biological process
GO:0061820,Telomeric D-loop Disassembly,Biological process
GO:0044417,Translocation Of Molecules Into Host,Biological process
GO:0099625,Ventricular Cardiac Muscle Cell Membrane Repolarization,Biological process
GO:0034372,Very-Low-Density Lipoprotein Particle Remodeling,Biological process
GO:0046784,Viral mRNA Export From Host Cell Nucleus,Biological process
GO:0001837,Epithelial To Mesenchymal Transition,Biological process
GO:1903321,Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal,Biological process
GO:0030509,BMP Signaling Pathway,Biological process
GO:2001243,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway,Biological process
GO:0032757,Positive Regulation Of Interleukin-8 Production,Biological process
