proteina,GO_term,Term_Name_Clean
FUS,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
H3-3B,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-107,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6093,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-663,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-759,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ANXA5,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
YWHAG,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-514,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HSPA5,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MAPK11,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
UBQLN2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7765,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1907,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-975,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2862,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2205,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2307,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2317,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2569,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HDAC6,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CDK1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MAPK8,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1981,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1982,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1984,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1986,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1990,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
EWSR1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2666,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5634,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PIK3R1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
LCK,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PHGDH,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1164,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1194,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1195,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1196,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1199,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1201,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1202,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1203,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1204,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1205,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1206,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1207,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1209,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1210,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1211,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1212,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
