CPX-2007	GO:0000070
CPX-2749	GO:0000070
CPX-3138	GO:0000070
CPX-3201	GO:0000070
CPX-329	GO:0000070
CPX-338	GO:0000070
CPX-4425	GO:0000070
CPX-5644	GO:0000070
CPX-5646	GO:0000070
CPX-5989	GO:0000070
CPX-5991	GO:0000070
CPX-6082	GO:0000070
CPX-6201	GO:0000070
CPX-7111	GO:0000070
CPX-74	GO:0000070
CPX-7441	GO:0000070
CPX-7442	GO:0000070
CPX-8007	GO:0000070
CPX-8025	GO:0000070
CPX-8041	GO:0000070
CPX-8061	GO:0000070
CPX-8063	GO:0000070
CPX-8064	GO:0000070
CPX-8083	GO:0000070
CPX-8084	GO:0000070
CPX-8085	GO:0000070
CPX-8087	GO:0000070
CPX-8088	GO:0000070
CPX-8089	GO:0000070
CPX-8090	GO:0000070
CPX-8091	GO:0000070
CPX-8097	GO:0000070
CPX-8102	GO:0000070
CPX-8103	GO:0000070
CPX-8106	GO:0000070
CPX-8107	GO:0000070
CPX-8109	GO:0000070
CPX-8110	GO:0000070
CPX-8122	GO:0000070
CPX-8123	GO:0000070
CPX-8125	GO:0000070
CPX-8126	GO:0000070
CPX-8130	GO:0000070
CPX-8131	GO:0000070
CPX-8135	GO:0000070
CPX-8147	GO:0000070
CPX-8150	GO:0000070
CPX-8151	GO:0000070
CPX-8201	GO:0000070
CPX-8202	GO:0000070
CPX-8221	GO:0000070
CPX-8222	GO:0000070
CPX-8241	GO:0000070
CPX-8242	GO:0000070
CPX-8261	GO:0000070
CPX-8262	GO:0000070
CPX-8263	GO:0000070
CPX-846	GO:0000070
CPX-873	GO:0000070
CPX-979	GO:0000070
CPX-985	GO:0000070
CDC6	GO:0000076
DNA2	GO:0000076
CPX-1880	GO:0000076
CPX-2526	GO:0000076
CPX-659	GO:0000076
CPX-7931	GO:0000076
ATR	GO:0000077
CEP63	GO:0000077
CHEK1	GO:0000077
CHEK2	GO:0000077
DONSON	GO:0000077
MAP3K20	GO:0000077
PARP9	GO:0000077
STK33	GO:0000077
