min_cluster_size,min_samples,cluster_selection_epsilon,alpha,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
12,2,0.0,2.0,41,4027,74.71243042671614,0.5839345587180013,0.6304149594791892,958.8362375978287
14,7,0.0,1.5,31,4063,75.38033395176252,0.5834244390055617,0.5609688746188091,1058.7784481667086
20,8,0.0,1.5,24,3914,72.61595547309832,0.5832964995136316,0.5421901112576745,836.7400107600168
20,6,0.0,2.0,19,4278,79.36920222634508,0.5829084938560959,0.593094615837267,1166.5021099442226
70,6,0.0,2.0,5,4433,82.24489795918367,0.5827880125524313,0.6376343262525184,1828.1749411783148
16,4,0.0,2.0,26,3998,74.17439703153988,0.5817438136024724,0.5881873244416389,790.7163981244048
18,4,0.0,2.0,26,3998,74.17439703153988,0.5817438136024724,0.5881873244416389,790.7163981244048
12,3,0.0,2.0,35,4049,75.12059369202227,0.5814188865568983,0.5674602532229461,811.8223020282613
10,10,0.0,1.5,32,4053,75.1948051948052,0.5809387458544967,0.48145367627310337,861.411473425029
20,10,0.0,1.5,21,3993,74.08163265306122,0.5800145609865012,0.5429471792698407,901.9851893131014
30,15,0.0,1.0,16,4045,75.04638218923934,0.5799857198748769,0.5558055853136016,1238.5024537298823
10,2,0.0,2.0,45,3987,73.97031539888684,0.5799044217027769,0.6428136053670874,898.1696210458003
8,5,0.0,1.5,47,3916,72.6530612244898,0.579761328930141,0.5484884001023401,844.9484206208969
30,5,0.0,2.0,15,4160,77.1799628942486,0.5796830199462271,0.5735457045848783,1059.1401804307222
