,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.41369253,-7.2356462,-5.5015507,2.3542376,-1.1371231,4.4494076,-2.1934488,-2.9175873,-4.2716494,-1.9539413,-4.0374823,-1.2692535,2.1870084,3.9082716,-0.1680485,1.1633058,-8.112732,9.086582,-10.40128,-0.21412404,-2.0270636,3.268614,-1.897964,-3.9065678,6.5236855,2.5781467,5.414409,-0.8061298,2.6385913,0.60002774,2.248268,-0.80846334,1.4114981,5.2572265,-2.1167383,-5.5763183,-1.8307097,2.6249077,-3.0138013,-4.1389003,-3.1954904,1.9485266,-1.7551697,-0.994318,0.00854329,1.7905825,-1.6193517,0.8730677,-0.6802018,1.8685689,2.0394063,-3.665085,-4.2214203,3.6861534,1.7438442,-2.8001032,-3.5314128,-3.1819081,-1.4601809,-7.9900136,1.4339309,-1.8641646,7.2686367,-1.9089438
1,-0.69834936,-4.6641865,-3.4856865,1.5076121,0.90517235,2.4223857,-1.0109055,-2.4082806,-2.821179,-1.0153377,-2.6580672,-0.6218579,2.9329457,3.6363344,0.6708895,1.4872369,-6.439089,6.7272677,-7.607971,-1.0515671,-0.55644953,1.7511874,-1.1311152,-2.9948542,3.8809135,2.0980558,2.7772114,0.39417768,1.6652241,-0.1545469,1.9631582,1.1310824,0.15705448,4.080557,0.36577043,-4.2781267,-0.26376387,0.5737405,-1.510049,-2.6076684,-2.972303,0.53154504,-1.0973282,-0.57944155,0.98369473,1.0348953,-1.4708226,-0.7832758,-1.3684963,1.1071106,1.1546949,-1.1147403,-2.2408905,2.1092818,2.364994,-2.1568758,-1.7227573,-2.2863958,0.06746307,-6.75399,2.1132603,0.41731453,3.8223913,-3.3480303
2,0.14949438,-4.282257,-3.4961908,2.032124,0.37255806,2.6901605,-1.0764343,-2.2247715,-2.2715623,-0.9429217,-1.7792293,-0.6550206,3.2707965,3.5527935,0.6670234,1.6167812,-6.3183017,6.8941183,-8.4766,-0.6550884,-0.46241948,1.769613,-1.2427739,-2.9771268,3.6678176,1.8695831,2.8340855,0.25760284,1.3845358,-0.51363105,1.6684153,0.22591835,0.25569364,4.2491674,-0.25517815,-4.244595,-0.43174344,1.2990935,-1.9034132,-2.5594206,-3.230916,0.5425757,-0.33902055,-0.48862922,0.9619844,1.2865943,-1.1411668,-1.0174965,-1.3902035,0.6696666,0.9487563,-1.2208139,-2.433304,2.0859158,2.20893,-1.617522,-1.3448882,-1.9557358,-0.054760184,-6.4229302,2.0888693,-0.107645705,4.540072,-2.9040463
3,-5.629364,-4.411988,-3.8121402,-0.25828642,-0.0008942187,1.0368057,0.14174081,-3.8019457,-5.783327,0.1999394,-13.333493,-1.53454,-6.1688995,-0.024175227,-2.6456525,-1.5456659,-0.118939325,3.4999866,0.1353072,-2.7995956,-3.2153478,2.2146728,-1.9820324,-0.816602,2.6892934,0.5989309,3.4577823,2.7085052,1.2628677,-2.7260134,4.441714,3.0507276,-1.6312714,0.398792,-3.438322,-2.9408705,-1.8530766,-3.2768927,0.9608832,-0.92168236,-0.2857505,-2.541702,-2.7766056,-0.6957487,1.1751614,2.8707645,-2.260511,0.45043892,0.9435578,2.356159,2.113579,-0.98691374,-0.71737003,1.6148367,0.3336606,-3.123368,-2.4807413,-1.505842,2.5241513,-5.302167,3.0732195,3.7361186,0.876128,-2.900531
4,-3.9656222,-4.203691,-3.6445146,0.17640284,0.01786413,1.7802593,-0.40417117,-2.9950852,-4.538356,-0.377538,-10.781732,-1.3071214,-4.2488837,0.4773451,-1.9464828,-0.8866227,-0.12815869,4.009048,-0.9558967,-2.4231699,-3.138021,2.7889597,-1.2756274,-1.0338135,3.0086136,0.8571203,3.362374,2.089118,1.3653576,-1.7873032,3.9970593,2.1056473,-0.67822593,0.8405474,-2.9568868,-3.0643272,-1.9382998,-2.4706872,0.3872918,-1.191711,-0.20167467,-1.5320479,-2.1669886,-0.7661239,0.9757837,2.7166622,-1.9971185,0.0011272747,1.1263772,2.2448022,1.9371922,-1.9521369,-1.2751101,1.2313279,0.41920173,-2.9485776,-2.56824,-1.3934854,1.808123,-5.208043,2.5423827,2.9479866,1.9132143,-2.4523442
5,-0.6957232,-7.010959,-5.913432,2.9952004,-1.0131576,4.5817246,-1.8664001,-3.6751542,-4.6801386,-0.6412568,-5.0937476,-1.3095402,2.5412421,4.8561144,0.3427399,2.2649632,-9.318076,10.436784,-12.8770895,-1.1044724,-1.5855988,3.838639,-3.4314108,-4.07382,5.430097,1.698224,5.5063043,-0.21097063,1.5077211,-1.136457,2.9288578,-1.5368954,0.5100682,6.6924477,-2.0834713,-6.092968,-1.6788414,2.5353734,-3.3941958,-3.9987268,-5.0130396,-0.00433442,-1.0268587,-1.5088041,1.8948691,2.3771966,-1.4069966,-0.59715277,-1.4089888,1.7188352,1.6696068,-2.469433,-2.9728346,3.5772965,3.1606224,-2.1841395,-2.4047375,-2.483701,0.544406,-9.556168,3.0954862,-0.49058843,8.188294,-3.763203
6,-0.3982967,-4.0252457,-2.9180875,1.4891324,1.2398168,2.312688,-0.8530462,-2.082734,-2.257326,-0.98274976,-1.7781724,-0.46859857,3.2206032,3.7021732,0.91656345,1.6430845,-6.117052,6.2102814,-7.398845,-1.2139957,-0.2185263,1.5035926,-0.88783216,-3.0467625,3.4501102,1.8405093,2.2657435,0.34876165,1.6117035,0.04256416,1.6955101,0.85728496,0.17796975,3.8072722,0.5947602,-4.0945153,-0.12216668,0.5329383,-1.4940567,-2.2876322,-2.8918183,0.6415216,-0.89106953,-0.43231833,0.8280796,0.977542,-1.3306851,-1.0053083,-1.455454,0.9974511,0.9497744,-1.0601376,-2.056756,1.929008,2.4666462,-2.0795028,-1.5699469,-2.0816438,0.07354312,-6.52497,2.0934346,0.6428708,3.2871127,-3.297078
7,-1.9994698,-2.7134202,-2.5188608,1.9524652,-0.13465904,1.9097674,-0.71104753,-0.94439346,-1.2292725,-0.5195474,-3.0603461,-1.1743865,-1.7824056,0.9163955,-0.063534856,0.2439993,-0.57923126,3.4380472,-2.905111,-1.3405268,-1.7264317,1.160653,-0.21298885,-1.4653063,2.371302,0.815151,1.9084451,1.1507215,0.9360808,-0.80773044,1.5144376,1.2817024,-0.37137797,0.33898222,-0.6392175,-1.8657035,-0.87400883,0.2764634,0.2713502,-0.9901545,-0.78337127,-0.21655588,0.7858729,-0.10689161,0.8109611,2.3154078,-0.68503743,-0.81991214,0.71551347,0.61520225,1.1451524,-1.4361151,-2.102085,1.0568953,0.118379146,-1.2318925,-0.6353055,-1.2132891,0.34220487,-2.2633789,1.6783262,0.9543753,2.1718183,-1.6924045
8,-3.2052755,-2.9737644,-1.7671158,0.44589633,2.5619442,0.27314225,-0.22721542,-2.0805168,-2.3980844,-0.5585108,-5.0318522,-0.4998224,-0.5832458,2.0736816,-0.15141603,0.24682659,-3.1233585,3.395799,-2.785971,-1.672277,-0.541998,0.36314213,-0.35378435,-1.8798764,1.9259117,0.82158315,1.1990143,0.67496693,1.4471878,-0.55675125,1.8451853,3.212969,-0.8352268,1.2560495,1.396787,-2.9464247,0.41705254,-1.664414,0.25826597,-1.2948297,-1.1626536,-1.1588678,-1.4082024,-0.29183227,0.56659275,0.76287884,-0.92898905,-1.2487924,-1.1313497,1.4262005,1.0256687,0.024672255,-0.80745494,1.5791116,1.662884,-2.3940794,-1.1693597,-1.6394497,0.80307573,-4.5651107,3.0119743,2.8045158,0.163443,-3.9584796
9,-2.3341084,-7.430304,-7.1731143,3.57814,-2.177236,5.640775,-2.1738071,-4.8796883,-6.7226763,0.8314803,-9.492205,-0.54830635,1.8857181,6.3063374,0.872608,2.9485266,-10.637798,12.7874,-15.316674,-2.6031451,-1.639298,5.298258,-5.104968,-4.868179,6.4124713,1.6036121,6.196537,1.056742,1.0466236,-2.2298346,4.150636,-1.4459753,-0.58152825,8.435357,-4.2027273,-6.8262143,-2.7435434,3.2839494,-3.5763588,-4.5432715,-6.0241,-0.28429785,-2.311568,-1.7144649,4.104829,3.2799602,-1.482034,-1.5843537,-1.912072,2.2581432,3.1617615,-2.863571,-3.2146752,3.8393795,4.463281,-2.2789295,-3.049117,-2.330469,1.6197785,-12.263053,3.9964125,0.92564785,10.687565,-4.7968407
10,-2.1979723,-4.349448,-4.4044204,3.0423675,-1.726909,2.486874,-0.9130887,-2.1033576,-2.838962,0.48830798,-3.6983728,-1.8095329,0.0121524,2.780351,0.3579637,1.0379244,-4.3697104,6.824974,-7.826248,-0.7686392,-1.2752634,1.7166204,-2.4444273,-2.6585393,3.2609243,1.6595,3.4066606,1.7025093,0.61838627,-1.6414897,1.73991,-0.027104761,-1.3381534,3.111765,-1.711026,-3.4780312,-1.4911605,3.0001447,-1.5400107,-1.5901694,-3.0180736,-0.4187919,1.9587301,-0.2914283,2.3292387,3.2403653,-0.8904846,-0.33290565,-0.53532964,-0.13282442,1.4753273,-0.4494452,-2.832615,2.3030515,1.4024181,-1.1670672,-1.0109507,-1.4383372,1.0965983,-4.659283,2.1045487,-0.9084925,4.776039,-2.8635652
11,-0.66012114,-4.2815514,-3.461124,2.1644123,0.19040558,2.892361,-1.0520962,-2.0725706,-2.1576285,-0.9644999,-2.3210344,-0.7532668,1.7206337,3.3592145,0.62295264,1.5209024,-5.283017,6.5046024,-7.6195354,-1.0595067,-0.7081909,1.7736077,-1.0952623,-2.8893867,3.809351,1.6511316,2.607285,0.46739486,1.4993578,-0.4388914,1.8774246,0.4201287,0.11704775,3.3478992,-0.65467817,-4.0151052,-0.7192163,1.1655393,-1.4449484,-2.3824606,-2.8734398,0.5201355,-0.025479646,-0.5849645,0.9416261,2.0519273,-1.1551546,-1.338665,-0.6594316,0.9212245,1.1511911,-1.5818968,-2.4429061,2.168087,2.0737734,-1.7255541,-1.4391024,-2.0566938,0.07393567,-5.844277,2.2743695,0.5101747,4.3933187,-2.842005
12,-1.7082984,-3.5451667,-3.21537,2.0728974,-1.186323,2.7037375,-1.2112932,-0.7940461,-1.2708019,-1.4571028,-3.649246,-1.4155914,-2.877403,0.68649346,-0.5885612,0.097427644,0.5895883,3.700846,-2.528047,-0.91871053,-2.4352615,1.9741669,0.18270704,-1.3594651,3.3191411,1.0581336,2.607309,1.2704328,1.4842496,-0.44849104,1.6764656,1.0473742,0.35834086,-0.09808236,-2.2571259,-2.0495028,-1.9855729,0.69125134,0.17585087,-1.5317278,-0.08852272,0.61330485,1.2228394,-0.4174357,0.06437263,3.3473344,-1.199165,-0.63672966,2.0187285,0.7712985,1.4405423,-2.8864942,-3.153622,1.164026,-0.35785162,-1.5360149,-1.4637563,-1.6246527,-0.14642209,-1.9896445,1.2448429,0.49725002,3.478289,-0.8283218
13,0.19728766,-6.8781695,-5.607232,3.1365395,-1.2667918,4.372355,-1.987667,-3.1743467,-4.0453644,-1.1428577,-3.6586778,-1.2375679,2.909231,4.1306214,0.36413127,2.151131,-8.859268,10.049961,-12.336979,-0.37920648,-1.4119881,3.6559963,-2.6937966,-3.6809387,5.3197713,1.9371009,5.570652,-0.6481092,1.4897625,-1.1003586,2.4443278,-1.4375967,1.0378561,6.303832,-1.8219734,-5.6699123,-1.5079894,2.5637593,-3.5379283,-4.0305223,-4.688366,0.61497474,-0.8206059,-1.2164884,1.3082821,1.9537165,-1.3836862,-0.15254796,-1.1782256,1.4375554,1.4578891,-2.7706459,-3.4178405,3.3591912,2.3916938,-1.5137539,-1.924023,-2.5515778,-0.08369172,-8.4407215,2.4074426,-1.2950284,8.294805,-2.6858206
14,-0.5438463,-5.69125,-4.9885783,2.789929,-1.1196692,3.3840218,-1.2975096,-2.7895694,-3.5100238,-0.1843501,-3.116544,-1.2080584,2.6225395,3.8007076,0.50519466,1.7070946,-7.991969,8.828491,-10.703692,-0.7871026,-1.1583751,2.4809346,-2.757333,-3.271387,4.385762,1.9764328,4.2624254,0.4829255,0.8898657,-1.239893,2.1807022,-0.67061394,-0.16709694,5.2448926,-0.6498071,-4.841554,-0.6659175,2.5295632,-2.5079534,-2.8809083,-4.397244,0.04217513,0.08506334,-0.86457485,1.9175231,2.0403447,-1.1046982,-0.15676405,-1.6921663,0.60722315,1.399654,-0.87272555,-2.7709396,2.830669,2.2771394,-1.3340546,-1.4001848,-2.0923452,0.43080267,-7.3248863,2.1988144,-1.0729852,6.1985707,-3.346842
15,-1.8619399,-7.178946,-6.306237,2.9231806,-1.604294,4.5208454,-1.7485493,-4.3008223,-5.98283,0.619604,-8.162245,-1.0833721,0.6777921,4.656216,0.039590478,1.9643121,-9.271403,10.729208,-12.554641,-1.798464,-1.7801857,4.2253995,-4.424964,-3.831697,5.221974,1.4484081,5.806356,0.09777351,0.8804786,-2.0496721,3.5731637,-1.4100403,-0.35357416,6.560926,-2.9943867,-5.8357472,-1.9638852,2.0826318,-3.2332962,-3.6811228,-5.548594,-0.8279623,-2.0323174,-1.7370785,2.9405823,2.7125013,-1.2204206,-0.65597606,-1.3792316,2.2844508,2.225581,-2.1980493,-2.3820577,3.5091174,3.2862453,-1.8238709,-2.6021757,-2.4195576,1.3408561,-9.733554,3.2864203,0.5601754,8.389896,-4.016617
16,-1.4936504,-4.214137,-3.6598196,1.828454,-0.36526677,2.629667,-1.0744395,-1.8227986,-2.5612063,-0.90856683,-4.632434,-1.1123292,-0.6319775,1.8811967,-0.122017354,0.6829572,-2.4978485,5.435267,-4.6307297,-1.3621781,-1.991205,2.74064,-0.92972624,-1.9894284,3.4984095,1.2006513,3.2623558,0.73612046,1.2418758,-0.45240054,2.4399147,0.70913005,0.34628507,2.049478,-1.1836967,-3.0694678,-1.558651,0.09007775,-0.8827415,-2.246792,-1.3292682,0.14389244,-0.6766966,-0.62692785,0.79314363,1.9168777,-1.2621603,-0.43165317,0.56823134,1.402943,1.5112021,-2.4641824,-2.4798791,1.5317056,0.8717452,-1.7772396,-1.64979,-1.5184076,0.30896273,-4.643373,1.836099,0.8315852,4.2752805,-2.0878112
17,0.03671224,-7.7009854,-6.6856046,3.4758906,-1.4302225,5.1790457,-2.2378955,-4.065717,-5.0309467,-0.69074,-4.591263,-1.5106126,4.020685,5.416936,0.62968737,2.6429524,-10.8299885,11.723173,-14.964027,-0.6345651,-1.5203515,4.0393724,-3.877873,-4.4888086,5.913096,2.1883297,5.940246,-0.18230812,1.6113354,-1.3350551,2.790404,-2.0218356,0.5212481,7.6448555,-2.4371908,-6.607884,-1.8035316,3.5038497,-4.1514215,-4.725657,-5.691293,0.11772752,-0.6879521,-1.4883183,2.203999,2.4958003,-1.2792954,-0.52558315,-1.8545848,1.3372355,1.8520705,-2.3538878,-3.5174417,3.943156,3.406152,-1.9876579,-2.3706253,-2.6938615,0.29814276,-10.500395,3.1310325,-1.4071897,9.492203,-3.907888
