number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_epochs,params_hidden_channels,params_learning_rate,params_num_heads,params_out_channels,params_predictor_hidden_channels,user_attrs_best_val_auc_epoch_metrics,state
0,0.9416462575870456,2025-10-14 07:14:07.502900,2025-10-14 07:18:34.973699,0 days 00:04:27.470799,tanh,0.10616955533913808,100,128,0.0026070247583707684,4,32,64,"{'epoch_at_best_val_auc': 100, 'train_loss': 0.30682799220085144, 'val_loss': 0.31122007966041565, 'test_loss': 0.30632489919662476, 'train_auc': 0.9433560691879931, 'val_auc': 0.9416462575870456, 'test_auc': 0.9435135323520507, 'train_acc': 0.8710854645723285, 'val_acc': 0.8687819618781962, 'test_acc': 0.8701650395165039, 'train_precision': 0.8792058100452499, 'val_precision': 0.8504063963247637, 'test_precision': 0.8521639133992348, 'train_recall': 0.860378422040527, 'val_recall': 0.8950023245002324, 'test_recall': 0.895722919572292, 'train_f1': 0.8696902323477669, 'val_f1': 0.8721346380356981, 'test_f1': 0.8734006505060121}",COMPLETE
1,0.9144422380063459,2025-10-14 07:18:34.978913,2025-10-14 08:53:27.322931,0 days 01:34:52.344018,relu,0.3037724259507192,200,64,0.00025081156860452336,8,32,64,"{'epoch_at_best_val_auc': 197, 'train_loss': 0.3807753324508667, 'val_loss': 0.3831842243671417, 'test_loss': 0.37871700525283813, 'train_auc': 0.9107037627797758, 'val_auc': 0.9144422380063459, 'test_auc': 0.9166037584607594, 'train_acc': 0.8309928929644416, 'val_acc': 0.8305323105532311, 'test_acc': 0.8327870757787076, 'train_precision': 0.8579949529708649, 'val_precision': 0.884279653001108, 'test_precision': 0.886504144056586, 'train_recall': 0.7932799869830256, 'val_recall': 0.7605997210599721, 'test_recall': 0.7632961413296141, 'train_f1': 0.8243693508038522, 'val_f1': 0.8177898854079452, 'test_f1': 0.8202995216147687}",COMPLETE
2,0.9620985841513392,2025-10-14 08:53:27.324590,2025-10-14 09:39:36.188721,0 days 00:46:08.864131,relu,0.2600340105889054,200,64,0.006586289317583112,4,64,64,"{'epoch_at_best_val_auc': 187, 'train_loss': 0.24362584948539734, 'val_loss': 0.25001195073127747, 'test_loss': 0.2480093240737915, 'train_auc': 0.964025676664987, 'val_auc': 0.9620985841513392, 'test_auc': 0.9627073741122646, 'train_acc': 0.9002487171887984, 'val_acc': 0.8974546722454673, 'test_acc': 0.899628079962808, 'train_precision': 0.8847111984941324, 'val_precision': 0.8850059669901601, 'test_precision': 0.8888361152576107, 'train_recall': 0.9204424609054933, 'val_recall': 0.9136215713621572, 'test_recall': 0.9135053463505346, 'train_f1': 0.9022231968921952, 'val_f1': 0.8990861364962084, 'test_f1': 0.9010019029277575}",COMPLETE
