epoch,train_loss,val_loss,test_loss,train_auc,val_auc,test_auc,train_acc,val_acc,test_acc,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_f1,val_f1,test_f1
1,0.6933984756469727,tensor(0.6845),tensor(0.6844),0.49700547050974575,0.7501312891455673,0.7533992698194714,0.5,0.6401208740120874,0.6411901441190144,0.0,0.6041645066528426,0.6045366928266557,0.0,0.8127150162715017,0.8165039516503951,0.0,0.6930914857765884,0.6947114433764487
2,0.684128999710083,tensor(0.7894),tensor(0.7896),0.7450085554602339,0.7583756392915969,0.7614321123277186,0.6387150386731983,0.49509530450953043,0.4952928870292887,0.601379445079144,0.49750979559080394,0.49760997084754566,0.8228529256231005,0.9798930729893073,0.9800325430032543,0.6948962065073367,0.6599505291502286,0.6600702951928421
3,0.7663520574569702,tensor(0.7487),tensor(0.7485),0.7477189128351522,0.4383734947212988,0.43832363845992084,0.4959597984693433,0.5,0.5,0.49794213103763657,0.0,0.0,0.9776067362842349,0.0,0.0,0.6598108573193511,0.0,0.0
4,0.7334796786308289,tensor(0.6913),tensor(0.6914),0.4958301642400154,0.6261956100986404,0.6239869715057985,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6869660019874573,tensor(0.6611),tensor(0.6610),0.6715904549712013,0.7366521126043675,0.7377344373574743,0.5,0.639632728963273,0.6391097164109717,0.0,0.6095648050195163,0.6083657763693979,0.0,0.7768479776847977,0.7809623430962344,0.0,0.683114281626229,0.6839432032164486
6,0.6673822402954102,tensor(0.6458),tensor(0.6454),0.7179180312207702,0.7196713277164934,0.7209781110101774,0.6521489630004126,0.6475592747559274,0.6472919572291957,0.6575692014190843,0.6355946684894054,0.634581483762717,0.634949413945596,0.6916782891678289,0.6945141794514179,0.6460613783143359,0.6624515784318091,0.6631965639323885
7,0.6554383039474487,tensor(0.6317),tensor(0.6310),0.7073298216945253,0.7314947398321217,0.7329688320288683,0.6405310228203832,0.6592398884239888,0.6601348210134821,0.6630769023278397,0.6247110010740747,0.6251908119502798,0.5714044966673059,0.7976754997675499,0.7996978149697815,0.6138369098712446,0.7006768690467683,0.7017583224543081
8,0.6355434060096741,tensor(0.6118),tensor(0.6108),0.7329873111307804,0.7333252494542126,0.7347268452868407,0.6766342404537345,0.6743723849372385,0.6751743375174337,0.6593782853427506,0.664524618927514,0.6637264273920223,0.730769454274972,0.7043003254300325,0.7101348210134821,0.6932407196852238,0.6838345652541895,0.686146797232953
9,0.6164314150810242,tensor(0.6798),tensor(0.6797),0.7420191119623982,0.7504541663883966,0.7519715355166561,0.6871524206342289,0.5907019990701999,0.5928754067875407,0.707228873024197,0.555052343463416,0.5562944698837619,0.6387121330985629,0.9144816364481636,0.9177824267782427,0.6712265396823458,0.6908110765772885,0.6927145927452959
10,0.6440610885620117,tensor(0.6146),tensor(0.6130),0.7693523375849791,0.7437115676684602,0.7447025409672903,0.6063077119761975,0.6674221292422129,0.6687354718735472,0.5661708188271466,0.7301927194860813,0.7283709809350029,0.9095901396419169,0.5310785681078568,0.5381682938168294,0.6979225073041643,0.6149187850731406,0.6189877817287384
11,0.6234862208366394,tensor(0.5917),tensor(0.5906),0.7563596712743037,0.7569674019911381,0.7584951154696301,0.6744623234137015,0.6944909344490935,0.6950604370060437,0.7851769175967703,0.6772444180824472,0.6768679523658974,0.4803466931655073,0.7431427243142724,0.7464900046490005,0.5960491494746861,0.7086649081196108,0.7099762339026142
12,0.5776892304420471,tensor(0.6091),tensor(0.6083),0.7804582129623063,0.773591286938859,0.7756081248145318,0.7195873502902669,0.6679800092980009,0.6676662017666202,0.7111108007318743,0.6234982483123985,0.6226408678205869,0.7396634182342242,0.8480706648070665,0.8512319851231985,0.7251061381383777,0.7186487418131678,0.7192096942082212
13,0.5821900963783264,tensor(0.5697),tensor(0.5684),0.7958997211527673,0.7873901084680323,0.7892117237158028,0.6848671861834115,0.7114597861459786,0.7129242212924222,0.6388961657017613,0.6814392277314612,0.6817676707544549,0.850354189548067,0.794188749418875,0.7986285448628545,0.729612760239429,0.7335065158118466,0.7355856723831545
14,0.5537981390953064,tensor(0.5520),tensor(0.5497),0.808663022951228,0.8001575240646831,0.8018128886459563,0.7342183713673053,0.7329265457926546,0.7327638307763831,0.7083150283490368,0.7714920480099705,0.7691294648856398,0.7963918574176415,0.6619014411901442,0.6652022315202232,0.7497756890722281,0.7125073502733676,0.7134007254415595
15,0.5510397553443909,tensor(0.5303),tensor(0.5283),0.8146568901070628,0.8156959987040722,0.8174754573948608,0.7404827902814339,0.750557880055788,0.7509879125987913,0.8035012321051397,0.7460621832625668,0.744071972693777,0.6366637029805384,0.7596931659693166,0.7651557415155742,0.7104187267981908,0.7528159767811485,0.7544665879737333
16,0.5200052261352539,tensor(0.5478),tensor(0.5463),0.8331877342898274,0.827931038907876,0.8298632654073516,0.7673651668090399,0.7265109251510925,0.7273709902370991,0.7798583950219281,0.6796452998543591,0.6795989938123129,0.7450445424591622,0.8569502556950256,0.860367271036727,0.7620540649778296,0.7580683301975057,0.7593734292132988
17,0.5168810486793518,tensor(0.5209),tensor(0.5186),0.8425224943205682,0.8386214965264338,0.8407579948327149,0.7459249315737173,0.750697350069735,0.7504532775453278,0.7055851619390913,0.7115120611884683,0.7103039056857885,0.8440345647158639,0.8433286843328685,0.845908879590888,0.7686250436586476,0.77183278374641,0.7721982324170052
18,0.49146369099617004,tensor(0.4941),tensor(0.4886),0.8542935943817482,0.8445731764776571,0.8479573983730876,0.7676426491867296,0.7682473268247327,0.770490469549047,0.7365153378643818,0.7910907072949248,0.7932216202595439,0.8334466507441176,0.7290097629009763,0.7317294281729428,0.7819886672655177,0.7587825413723023,0.7612357173085061
19,0.5055907964706421,tensor(0.5055),tensor(0.5016),0.848479554972984,0.8520798568492571,0.8549783276285279,0.7670600814723127,0.7633774988377499,0.7662831241283125,0.8239201838224929,0.7266145322906458,0.7293990427939203,0.6792913884578953,0.8444909344490934,0.8466759646675964,0.744648186546651,0.7811307367312055,0.7836741719289564
20,0.4722488224506378,tensor(0.5027),tensor(0.4984),0.8633779159278315,0.8559431068031671,0.8589290967452459,0.7790789909520406,0.7686657368665737,0.7713156671315667,0.7488013179674082,0.7339770840924734,0.7361701266642386,0.839926082181273,0.8427940492794049,0.845722919572292,0.7917503748895873,0.7846306996472548,0.7871530256809676
21,0.4631410539150238,tensor(0.4802),tensor(0.4744),0.8683996109013193,0.8579022090532963,0.8612160669974784,0.7825627749399999,0.7802766155276616,0.7840074384007438,0.7550439154368859,0.793534094505441,0.7958353510895884,0.8365120319845656,0.7576940957694096,0.7640167364016737,0.7936928902348418,0.7752000665897714,0.7796015180265654
22,0.45347148180007935,tensor(0.4694),tensor(0.4641),0.8727711596202341,0.8653401742910489,0.8684984098624514,0.7960867720809145,0.7839493258949326,0.7884007438400744,0.8205424210777961,0.7804872448393837,0.7845381157691955,0.7579394826914919,0.7901208740120874,0.7951882845188285,0.7879995287535835,0.7852745145603031,0.7898272995936461
23,0.44138303399086,tensor(0.4731),tensor(0.4686),0.8769897616108039,0.8725047270781692,0.8754068666990432,0.7963671600332398,0.7817642956764296,0.7854253835425383,0.8000470664372178,0.7487124771734001,0.7515260764472121,0.7902349447650262,0.8482101348210135,0.8528126452812645,0.7951107349538306,0.7953616617805725,0.7989721030510246
24,0.4392848312854767,tensor(0.4476),tensor(0.4429),0.883607954532247,0.8763534418813343,0.8791256828962387,0.7935603749353509,0.7939679218967922,0.7975708972570897,0.7616275607046583,0.7892942925769186,0.7915328733119263,0.8545876117919841,0.802045560204556,0.8079265457926545,0.8054341887808264,0.795618838992333,0.7996456960117795
25,0.42593979835510254,tensor(0.4441),tensor(0.4397),0.8875498108258063,0.8774308685417851,0.879981398594839,0.8074722662901042,0.793909809390981,0.7989423523942353,0.8080531676743801,0.8065212121212121,0.8099139696845555,0.8065294073208858,0.7733379823337982,0.7812412831241283,0.807290568474137,0.7895811083422333,0.7953192848775986
26,0.42438727617263794,tensor(0.4505),tensor(0.4471),0.8899666910342433,0.8827312232036779,0.8850257807716388,0.8101729979137974,0.7952696420269642,0.7992329149232915,0.8322202373913098,0.7614490068951323,0.7648438464387113,0.776991335576437,0.8599488609948861,0.8641562064156206,0.803658045476129,0.8077070028928552,0.8114727260821164
